p_01,p_05,p_10,ap_01,ap_05,ap_10
0.347,0.373,0.358,50491013293854.664,9.767053944752822e+86,5.99249878501415e+181
0.347,0.326,0.331,497913916541965.5,8.39975629502892e+93,1.613134049027123e+191
0.418,0.34,0.348,12156607898447.836,1.0966055203199354e+90,2.822297749770871e+187
0.602,0.621,0.545,106474632.341,7.2409148766639785e+50,1.3034967601840884e+129
0.367,0.389,0.376,73761217142940.08,6.281589118851952e+83,3.9242266178814034e+178
0.327,0.342,0.342,115522468934257.61,1.721915706189194e+91,5.939955622100367e+187
0.276,0.336,0.355,375774213281788.9,3.4744968563562367e+90,2.426828738058156e+183
0.367,0.344,0.332,170490346763100.2,1.0547620254922814e+91,8.59273577961665e+190
0.429,0.324,0.336,7246812762750.054,6.660758965552635e+94,1.2778853286932228e+190
0.286,0.328,0.321,22265801873.851,4.266690089140982e+88,3.863596866864098e+190
0.276,0.371,0.394,1.034580378434265e+17,2.973656774328543e+87,8.668053572780655e+172
0.214,0.328,0.357,7.568657927979163e+16,2.0976407698140515e+93,2.774510730874814e+183
0.592,0.635,0.576,220108603.498,3.596144640604094e+48,4.487833448133855e+119
0.255,0.277,0.32,1.9906995847758342e+17,1.4436687662228617e+99,1.723375134823241e+194
0.245,0.293,0.317,1.0383790676719154e+16,2.293274072860274e+97,5.668804726439735e+193
0.367,0.381,0.387,66872687815417.49,6.961962022756951e+85,1.771421155772723e+175
0.633,0.623,0.563,20225587.654,2.799785215769932e+50,1.2120545880859741e+123
0.327,0.332,0.327,38907937159056.13,2.343910573699475e+91,7.250188312211651e+189
0.296,0.34,0.334,6.226506127567914e+16,2.976136124470358e+92,1.2843976487760423e+190
0.316,0.326,0.327,1299955580080410.0,3.674385139755267e+91,8.119211702995541e+192
0.235,0.367,0.352,1.7670412124707534e+16,5.5890919805329545e+85,3.216642589382908e+184
0.378,0.34,0.375,25936350512332.684,2.1024397613023945e+91,6.7144321916098975e+177
0.367,0.326,0.344,65770189002013.42,1.4502839954912471e+94,2.299274593652564e+188
0.276,0.314,0.349,57172332247766.43,4.656285824408587e+94,6.407060159020098e+184
0.235,0.31,0.319,21298279018.385,2.518786586035423e+92,2.8848307519850818e+190
0.235,0.358,0.357,7.463471573784667e+18,1.790453950714322e+89,1.1711855821824648e+184
0.378,0.415,0.423,175719111846689.62,8.847058432838102e+80,2.3882688186519292e+163
0.316,0.338,0.348,2.3257242213479372e+16,2.4876550238972275e+92,2.4850360600571243e+187
0.418,0.395,0.39,10868296489165.742,2.721847447967053e+84,3.4637297869474775e+174
0.316,0.322,0.334,2623264759655852.0,9.483013688924494e+93,2.9148988688691613e+190
0.398,0.434,0.424,1792016976699.792,1.3468928449144374e+76,4.553818332108892e+162
0.306,0.316,0.338,2668039966450722.0,1.662546593857795e+95,9.954148704251752e+188
0.255,0.328,0.329,4.812518606018346e+16,1.053665865990955e+92,1.0424201048164776e+191
0.367,0.352,0.354,467973783479.266,6.287339236422974e+88,4.509332129834601e+183
0.337,0.336,0.329,3898089728037335.0,4.892676673871334e+92,2.1013591881680367e+193
0.306,0.336,0.353,2.542291355969211e+16,6.4425221139785894e+91,4.251768862788957e+183
0.367,0.334,0.326,215916204834539.44,1.2330656628018563e+92,1.408078903234744e+193
0.388,0.348,0.378,154979695594831.38,9.998483427866606e+87,6.343938828388391e+177
0.388,0.328,0.323,119066666293867.28,6.456600482712337e+92,4.1683348262062677e+194
0.265,0.33,0.327,2055673303351927.5,5.850672790015119e+92,6.676890254946098e+192
0.276,0.297,0.307,1.240834944166515e+16,1.1413103391617216e+98,5.581162381920044e+197
0.327,0.305,0.323,4076667715541540.5,2.0201726710873954e+96,8.544856180306189e+192
0.337,0.33,0.337,1.6294525008858572e+16,1.471030074100261e+94,1.939848862205178e+190
0.306,0.31,0.334,302147429207830.8,2.9962110946881453e+94,1.0555378175904733e+189
0.429,0.356,0.354,143563766870.647,1.1072265637725139e+86,3.5472706014727437e+183
0.327,0.297,0.313,674193964578471.9,2.3268092047602e+98,2.1547465756986014e+196
0.306,0.322,0.344,4255687926246631.0,3.406019247461264e+94,2.5547169899213512e+188
0.418,0.413,0.412,29076469586280.7,4.617758715061884e+80,1.8024646304433083e+168
0.337,0.354,0.344,1335584104745647.5,1.2928273499398702e+90,3.2401277157727364e+188
0.337,0.342,0.344,11204628359297.781,2.7808008003815175e+91,7.750133417294442e+186
0.224,0.285,0.309,7.936859775016784e+18,1.0339479985806942e+100,3.561551690629516e+198
0.327,0.33,0.355,1.3494653387017628e+16,1.0405678370866807e+93,4.9967966982863024e+184
0.561,0.654,0.578,681116700.342,2.306886376969251e+46,4.6952746227751125e+117
0.245,0.318,0.323,7.22097366982063e+17,3.395067636204275e+95,6.011412793320307e+193
0.337,0.352,0.347,357917095823137.4,3.2721202138919123e+89,7.861513228522598e+185
0.306,0.318,0.337,2.675049171720431e+16,2.168157928860634e+95,8.63282315495635e+188
0.357,0.405,0.394,113174986734257.31,1.401244180304603e+83,2.509516373324166e+173
0.388,0.318,0.326,30197526009961.445,7.844866435506035e+93,1.2224631742222482e+193
0.347,0.336,0.332,406035148998484.75,3.717822119524937e+92,2.2538332787798288e+191
0.286,0.322,0.337,8312991584167382.0,2.176283134197446e+93,6.59244932002006e+188
0.357,0.322,0.312,314861783272910.9,1.7847967707561418e+95,1.4577778043057633e+197
0.337,0.348,0.345,2286245518879321.5,6.0940180876735215e+88,9.820083885280312e+186
0.378,0.336,0.323,855280122753648.0,1.3181598817050899e+93,7.519578317191343e+194
0.316,0.356,0.352,8506960393219577.0,3.1678844956722663e+89,1.739696210813202e+185
0.276,0.336,0.359,1220107279084443.5,4.074439604201481e+90,1.463781468138471e+182
0.316,0.316,0.354,101062618910844.73,1.2243239222762487e+93,1.1098410564669791e+185
0.265,0.297,0.325,1740556741464390.8,2.0857664139975357e+98,5.292404110951593e+192
0.296,0.415,0.391,1.155211593785787e+16,5.529343060814541e+80,1.8711983153568013e+174
0.357,0.336,0.368,17030315615102.268,2.5119193967722067e+91,1.1397710614390845e+179
