state (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
lecture.v.01,2,deliver a lecture or talk,0,0,0,1,lecture
visualize.v.01,2,imagine; conceive of; see in one's mind,0,0,1,0,"project, figure"
education.n.04,2,the profession of teaching (especially at a school or college or university),0,2,1,1,education
recipient_role.n.01,2,the semantic role of the animate entity that is passively involved in the happening denoted by the verb in the clause,0,1,1,0,recipient
term.v.01,2,name formally or designate with a term,0,1,0,0,term
recruit.v.03,2,cause to assemble or enlist in the military,0,0,2,0,raise
manage.v.02,2,"be in charge of, act on, or dispose of",0,0,1,0,manage
president_of_the_united_states.n.02,2,the office of the United States head of state,0,0,0,2,president
help.v.06,2,contribute to the furtherance of,0,0,0,0,help
stay.v.01,2,stay the same; remain in a certain state,0,0,2,0,"remain, stay"
stay.v.04,2,"continue in a place, position, or situation",0,0,0,0,"remain, stay"
take.v.29,2,be seized or affected in a specified way,0,0,1,0,take
acknowledge.v.06,2,accept (someone) to be what is claimed or accept his power and authority,0,0,1,0,know
finalist.n.01,2,a contestant who reaches the final stages of a competition,0,0,1,1,finalist
populate.v.01,2,inhabit or live in; be an inhabitant of,1,0,2,0,live
scholar.n.01,2,a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines,0,0,0,1,student
develop.v.19,2,elaborate by the unfolding of a musical idea and by the working out of the rhythmic and harmonic changes in the theme,0,0,0,0,develop
train.v.02,2,"undergo training or instruction in preparation for a particular role, function, or profession",0,0,0,0,train
work.v.14,2,behave in a certain way when handled,0,0,1,0,work
observer.n.02,1,an expert who observes and comments on something,0,1,0,0,commentator
besides.r.02,1,in addition,0,0,1,0,also
imprison.v.02,1,confine as if in a prison,0,0,0,0,imprison
activity.n.04,1,(chemistry) the capacity of a substance to take part in a chemical reaction,0,0,0,1,activity
work.v.03,1,have an effect or outcome; often the one desired or expected,0,0,0,1,work
quarrel.v.01,1,have a disagreement over something,0,1,0,0,dispute
guest.n.03,1,a customer of a hotel or restaurant etc.,0,0,0,0,guest
inspector.n.01,1,a high ranking police officer,0,1,1,0,inspector
call.v.22,1,lure by imitating the characteristic call of an animal,0,0,0,0,call
collaborator.n.03,1,an associate in an activity or endeavor or sphere of common interest,0,0,0,0,collaborator
debater.n.01,1,someone who engages in debate,0,0,0,1,debater
premier.v.02,1,perform a work for the first time,0,0,0,0,premiere
school.v.03,1,swim in or form a large group of fish,0,1,0,1,school
carry.v.02,1,have with oneself; have on one's person,0,0,0,0,take
hairdresser.n.01,1,someone who cuts or beautifies hair,0,0,1,0,hairdresser
circulate.v.06,1,cause to move in a circuit or system,0,0,1,0,circulate
deem.v.01,1,keep in mind or convey as a conviction or view,0,0,0,1,hold
childhood.n.02,1,the state of a child between infancy and adolescence,0,0,1,0,childhood
pastor.n.02,1,only the rose-colored starlings; in some classifications considered a separate genus,0,1,0,1,pastor
collaborate.v.01,1,work together on a common enterprise of project,0,0,0,0,cooperate
enlist.v.03,1,engage somebody to enter the army,0,0,0,0,enlist
scholarship.n.01,1,financial aid provided to a student on the basis of academic merit,0,0,1,1,scholarship
active.a.11,1,(used of verbs (e.g. `to run') and participial adjectives (e.g. `running' in `running water')) expressing action rather than a state of being,0,0,0,1,active
face.v.05,1,turn so as to face; turn the face in a certain direction,0,0,0,0,face
board.v.02,1,live and take one's meals at or in,0,0,0,0,room
head.v.09,1,remove the head of,0,0,0,1,head
duty.n.01,1,the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr,0,0,0,0,duty
freedom.n.01,1,the condition of being free; the power to act or speak or think without externally imposed restraints,0,0,0,0,freedom
compose.v.04,1,put together out of existing material,0,0,0,0,compile
fellowship.n.03,1,money granted (by a university or foundation or other agency) for advanced study or research,0,0,0,0,fellowship
usher.v.01,1,"take (someone) to their seats, as in theaters or auditoriums",1,0,0,0,show
welcome.v.02,1,bid welcome to; greet upon arrival,0,0,1,0,receive
unblock.v.03,1,make (assets) available,1,0,1,0,release
conduct.v.02,1,"lead, as in the performance of a composition",0,0,0,0,direct
suffer.v.02,1,undergo (as of injuries and illnesses),0,0,0,1,get
queen.v.01,1,"promote to a queen, as of a pawn in chess",1,0,0,0,queen
defy.v.02,1,"elude, especially in a baffling way",0,0,0,0,resist
give.v.43,1,consent to engage in sexual intercourse with a man,0,0,0,0,give
move_over.v.01,1,move in order to make room for someone for something,0,0,0,0,give
martyr.v.02,1,torture and torment like a martyr,0,0,0,0,martyr
crusade.v.01,1,"exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for",0,0,0,0,fight
pick.v.10,1,"attack with or as if with a pickaxe of ice or rocky ground, for example",1,0,0,0,pick
list.v.01,1,give or make a list of; name individually; give the names of,1,0,0,0,name
