targets,event (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
"free, release",free.v.05,3,make (information) available for publication,0,0,0,0,"free, release"
marry,marry.v.02,3,perform a marriage ceremony,0,0,0,0,marry
call,call.v.20,3,challenge (somebody) to make good on a statement; charge with or censure for an offense,0,0,1,2,call
kill,kill.v.01,3,"cause to die; put to death, usually intentionally or knowingly",1,0,1,0,kill
succeed,succeed.v.02,3,be the successor (of),0,0,0,0,succeed
submit,submit.v.01 ## submit.v.06,3,refer for judgment or consideration ## yield to another's wish or opinion,0,0,0,0,submit ## submit
sign,sign.v.01,3,mark with one's signature; write one's name (on),0,0,0,1,sign
"form, organize",form.v.01,3,create (as an entity),0,0,1,1,"form, organize"
"lead, go",run.v.03,3,"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point",1,0,1,0,"lead, go"
"fire, raise",arouse.v.01,3,"call forth (emotions, feelings, and responses)",0,0,2,0,"fire, raise"
refuse,reject.v.06 ## refuse.v.02,2,refuse entrance or membership ## refuse to accept,0,0,0,1,refuse ## refuse
put,put.v.07,2,cause (someone) to undergo something,0,0,0,0,put
accuse,accuse.v.01,2,bring an accusation against; level a charge against,0,0,0,0,accuse
announce,announce.v.03,2,give the names of,0,0,0,0,announce
hold,restrain.v.03 ## harbor.v.01,2,"to close within bounds, limit or hold back from movement ## maintain (a theory, thoughts, or feelings)",0,0,1,1,hold ## hold
escape,scat.v.01 ## escape.v.01,2,flee; take to one's heels; cut and run ## run away from confinement,0,0,0,0,escape ## escape
work,work.v.08 ## work.v.19,2,"operate in a certain place, area, or specialty ## gratify and charm, usually in order to influence",0,0,2,2,work ## work
deliver,deliver.v.07,2,"utter (an exclamation, noise, etc.)",0,0,0,1,deliver
print,print.v.01,2,put into print,0,0,2,0,print
create,create.v.02 ## create.v.04,2,"bring into existence ## invest with a new title, office, or rank",0,0,0,0,create ## create
appearance,appearance.n.03,2,formal attendance (in court or at a hearing) of a party in an action,0,0,0,2,appearance
travel,travel.v.05,2,undergo transportation as in a vehicle,0,0,1,0,travel
arrive,arrive.v.02,2,succeed in a big way; get to the top,0,0,1,0,arrive
use,use.v.06,2,habitually do something (use only in the past tense),0,0,0,0,use
catch,catch.v.02 ## catch.v.01,2,"perceive with the senses quickly, suddenly, or momentarily ## discover or come upon accidentally, suddenly, or unexpectedly; catch somebody doing something or in a certain state",1,0,0,1,catch ## catch
praise,praise.v.01,2,express approval of,0,0,0,1,praise
"premier, premiere",premier.v.01,2,be performed for the first time,0,0,0,1,"premier, premiere"
commit,perpetrate.v.01 ## give.v.18,2,"perform an act, usually with a negative connotation ## give entirely to a specific person, activity, or cause",0,0,0,0,commit ## commit
run,run.v.01 ## operate.v.01,2,"move fast by using one's feet, with one foot off the ground at any given time ## direct or control; projects, businesses, etc.",0,0,1,0,run ## run
launch,plunge.v.04,2,begin with vigor,0,0,0,1,launch
contribution,contribution.n.02,2,a voluntary gift (as of money or service or ideas) made to some worthwhile cause,0,0,0,0,contribution
criticize,knock.v.06,2,find fault with; express criticism of; point out real or perceived flaws,1,0,0,0,criticize
hire,hire.v.01,2,engage or hire for work,0,0,0,2,hire
invite,receive.v.05 ## invite.v.05,2,express willingness to have in one's home or environs ## have as a guest,0,0,0,1,invite ## invite
sell,sell.v.01,2,exchange or deliver for money or its equivalent,0,0,0,0,sell
vote,vote.v.01,2,express one's preference for a candidate or for a measure or resolution; cast a vote,0,0,0,0,vote
debut,debut.v.02 ## debut.v.01,2,appear for the first time in public ## present for the first time to the public,0,0,0,0,debut ## debut
"reach, make",reach.v.01,2,"reach a destination, either real or abstract",0,0,0,0,"reach, make"
present,deliver.v.01,1,"deliver (a speech, oration, or idea)",0,0,0,0,present
qualify,stipulate.v.01,1,specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement,0,0,0,1,qualify
pull,attract.v.01,1,direct toward itself or oneself by means of some psychological power or physical attributes,1,0,0,1,pull
rat,rat.v.04,1,give (hair) the appearance of being fuller by using a rat,0,0,0,0,rat
prevent,prevent.v.02,1,stop (someone or something) from doing something or being in a certain state,0,0,0,0,prevent
pretend,guess.v.02,1,"put forward, of a guess, in spite of possible refutation",0,0,0,0,pretend
post,post.v.07,1,transfer (entries) from one account book to another,0,0,0,0,post
place,target.v.01,1,intend (something) to move towards a certain goal,0,0,1,0,place
phd,ph.d..n.01,1,a doctorate usually based on at least 3 years graduate study and a dissertation; the highest degree awarded graduate study,0,0,0,0,phd
purchase,buy.v.01,1,obtain by purchase; acquire by means of a financial transaction,0,0,0,0,purchase
protest,protest.v.03,1,affirm or avow formally or solemnly,0,0,0,1,protest
performance,performance.n.01,1,a dramatic or musical entertainment,0,0,0,0,performance
promote,advertise.v.02,1,make publicity for; try to sell (a product),0,0,0,0,promote
undergone,undergone,1,undergone,0,0,0,0,undergone
re-elected,re-elected,1,re-elected,0,0,0,1,re-elected
spar,spare.v.01,1,refrain from harming,0,0,0,0,spar
start,begin.v.03,1,"set in motion, cause to start",0,0,0,0,start
steal,steal.v.01,1,take without the owner's consent,1,0,0,0,steal
stick,stay.v.02,1,stay put (in a certain place),0,0,0,0,stick
subject,subject.v.01,1,cause to experience or suffer or make liable or vulnerable to,0,0,0,0,subject
succumb,yield.v.13,1,consent reluctantly,0,0,0,0,succumb
sue,action.v.01,1,institute legal proceedings against; file a suit against,0,0,0,0,sue
support,support.v.09,1,play a subordinate role to (another performer),0,0,0,0,support
survive,survive.v.02,1,"continue in existence after (an adversity, etc.)",0,0,0,0,survive
voice,voice.v.01,1,give voice to,0,0,0,0,voice
telephone,call.v.03,1,get or try to get into communication (with someone) by telephone,0,0,0,0,telephone
tenure,tenure.v.01,1,give life-time employment to,0,0,0,1,tenure
threaten,threaten.v.02,1,to utter intentions of injury or punishment against:,0,0,0,0,threaten
tie,tie.v.02,1,"finish a game with an equal number of points, goals, etc.",0,0,0,1,tie
transfer,transfer.v.05,1,cause to change ownership,0,0,0,1,transfer
transmit,air.v.03,1,"broadcast over the airwaves, as in radio or television",0,0,0,0,transmit
try,test.v.01,1,"put to the test, as for its quality, or give experimental use to",0,0,0,0,try
turn,turn.v.01,1,"change orientation or direction, also in the abstract sense",0,0,0,0,turn
specialize,specialize.v.03,1,suit to a special purpose,0,0,0,1,specialize
showcased,showcased,1,showcased,0,0,0,0,showcased
reconcile,accommodate.v.07,1,make (one thing) compatible with (another),0,0,0,0,reconcile
show,usher.v.01,1,"take (someone) to their seats, as in theaters or auditoriums",0,0,0,0,show
record,record.v.02,1,register electronically,0,0,0,0,record
recruit,enroll.v.01,1,register formally as a participant or member,0,0,0,0,recruit
recuse,recuse.v.01,1,disqualify oneself (as a judge) in a particular case,1,0,0,0,recuse
rejoin,rejoin.v.01,1,join again,0,0,0,0,rejoin
relocate,relocate.v.01,1,become established in a new location,0,0,1,0,relocate
remove,remove.v.01,1,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract",0,0,0,1,remove
research,research.v.01,1,attempt to find out in a systematically and scientific manner,0,0,1,0,research
resign,vacate.v.01,1,"leave (a job, post, or position) voluntarily",0,0,0,0,resign
retreat,retreat.v.02,1,"move away, as for privacy",0,0,0,0,retreat
pensioner,pensioner.n.01,1,the beneficiary of a pension fund,0,0,1,1,pensioner
review,review.v.05,1,"look back upon (a period of time, sequence of events); remember",0,0,0,0,review
revitalize,regenerate.v.09,1,restore strength,0,0,1,0,revitalize
seek,search.v.01,1,"try to locate or discover, or try to establish the existence of",0,0,1,0,seek
serialized,serialized,1,serialized,0,0,0,0,serialized
service,service.v.01,1,be used by; as of a utility,0,0,0,0,service
share,share.v.01,1,have in common,0,0,0,0,share
shoot,shoot.v.10,1,"emit (as light, flame, or fumes) suddenly and forcefully",0,0,0,0,shoot
resume,sum_up.v.01,1,give a summary (of),0,0,0,0,resume
abandon,abandon.v.01,1,"forsake, leave behind",0,0,0,0,abandon
pay,pay.v.09,1,"bear (a cost or penalty), in recompense for some action",0,0,0,0,pay
christen,baptize.v.01,1,administer baptism to,0,0,0,0,christen
co-founded,co-founded,1,co-founded,0,0,0,0,co-founded
collect,gather.v.01,1,assemble or get together,0,0,0,0,collect
collection,collection.n.01,1,several things grouped together or considered as a whole,0,0,0,0,collection
come,come.v.01,1,"move toward, travel toward something or somebody or approach something or somebody",0,0,0,0,come
compile,roll_up.v.02,1,get or gather together,0,0,0,0,compile
complaint,complaint.n.02,1,(formerly) a loud cry (or repeated cries) of pain or rage or sorrow,0,0,0,0,complaint
complete,complete.v.02,1,"bring to a whole, with all the necessary parts or elements",0,0,0,0,complete
conduct,conduct.v.02,1,"lead, as in the performance of a composition",0,0,0,0,conduct
contact,reach.v.04,1,be in or establish communication with,0,0,0,0,contact
convert,convert.v.08,1,score (a spare),0,0,0,0,convert
convince,convert.v.09,1,"make (someone) agree, understand, or realize the truth or validity of something",0,0,0,0,convince
curated,curated,1,curated,0,0,1,1,curated
defeat,get_the_better_of.v.01,1,win a victory over,0,0,0,1,defeat
degree,degree.n.07,1,"the seriousness of something (e.g., a burn or crime)",0,0,0,0,degree
denounce,denounce.v.03,1,"announce the termination of, as of treaties",0,0,0,0,denounce
departure,departure.n.01,1,the act of departing,0,0,0,0,departure
depict,picture.v.02,1,"show in, or as in, a picture",1,0,0,0,depict
diagnose,diagnose.v.01,1,determine or distinguish the nature of a problem or an illness through a diagnostic analysis,0,0,0,0,diagnose
disappear,disappear.v.01,1,"get lost, as without warning or explanation",0,0,0,0,disappear
clear,clear.v.12,1,"clear from impurities, blemishes, pollution, etc.",0,0,0,0,clear
cash,cash.v.01,1,exchange for cash,0,0,0,0,cash
part,separate.v.09,1,go one's own way; move apart,0,0,0,0,part
buy,bribe.v.01,1,make illegal payments to in exchange for favors or influence,0,0,1,1,buy
absence,absence.n.04,1,"the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy",0,0,0,0,absence
accept,accept.v.09,1,"receive (a report) officially, as from a committee",0,0,0,0,accept
accusation,accusation.n.01,1,a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt,0,0,0,0,accusation
acknowledgement,recognition.n.01,1,the state or quality of being recognized or acknowledged,0,0,0,1,acknowledgement
action,carry_through.v.01,1,put in effect,0,0,0,0,action
adapt,adapt.v.01,1,"make fit for, or change to suit a new purpose",0,0,0,0,adapt
adopt,adopt.v.01,1,"choose and follow; as of theories, ideas, policies, strategies or plans",0,1,0,0,adopt
allow,give_up.v.11,1,allow the other (baseball) team to score,0,0,0,0,allow
approach,approach.v.05,1,"make advances to someone, usually with a proposal or suggestion",0,0,0,0,approach
arrest,check.v.18,1,"hold back, as of a danger or an enemy; check the expansion or influence of",0,0,0,0,arrest
arrival,arrival.n.03,1,someone who arrives (or has arrived),0,0,1,0,arrival
associate,consort.v.01,1,keep company with; hang out with,0,0,1,1,associate
attract,attract.v.03,1,exert a force on (a body) causing it to approach or prevent it from moving away,0,0,0,0,attract
bestow,confer.v.02,1,present,0,0,0,0,bestow
birthplace,birthplace.n.01,1,the place where someone was born,1,0,1,0,birthplace
brief,brief.v.01,1,give essential information to someone,0,0,0,0,brief
build,build_up.v.02,1,form or accumulate steadily,0,0,1,0,build
bundle,bundle.v.01,1,make into a bundle,0,0,0,0,bundle
bury,bury.v.05,1,embed deeply,0,0,0,1,bury
discover,discover.v.03,1,"make a discovery, make a new finding",0,0,0,0,discover
discuss,hash_out.v.01,1,speak with others about (something); talk (something) over in detail; have a discussion,0,0,0,0,discuss
dissertation,dissertation.n.01,1,a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree,0,0,0,0,dissertation
donate,donate.v.01,1,give to a charity or good cause,1,0,1,1,donate
implement,follow_through.v.02,1,pursue to a conclusion or bring to a successful issue,0,0,0,0,implement
induct,induct.v.05,1,introduce or initiate,0,0,0,1,induct
influence,influence.v.01,1,have and exert influence or effect,0,0,0,0,influence
ink,ink.v.01,1,append one's signature to,0,0,0,0,ink
inspire,inhale.v.02,1,draw in (air),0,0,0,0,inspire
instal,install.v.02,1,put into an office or a position,0,0,0,0,instal
interview,interview.v.02,1,discuss formally with (somebody) for the purpose of an evaluation,0,0,0,0,interview
introduce,introduce.v.07,1,"bring before the public for the first time, as of an actor, song, etc.",0,0,0,0,introduce
able,able.a.01,1,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,0,0,0,0,able
involve,involve.v.06,1,occupy or engage the interest of,0,0,0,1,involve
know,know.v.05,1,"have firsthand knowledge of states, situations, emotions, or sensations",0,0,0,0,know
lie,lie.v.02,1,"be lying, be prostrate; be in a horizontal position",1,0,0,1,lie
link,connect.v.01,1,"connect, fasten, or put together two or more pieces",0,0,0,0,link
list,list.v.04,1,tilt to one side,0,0,0,0,list
migrate,migrate.v.01,1,move from one country or region to another and settle there,0,0,1,0,migrate
nominate,nominate.v.02,1,put forward; nominate for appointment to an office or for an honor or position,0,0,0,0,nominate
note,note.v.01,1,make mention of,0,0,0,1,note
