state (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
give.v.18,2,"give entirely to a specific person, activity, or cause",0,0,1,0,dedicate
perform.v.03,2,give a performance (of something),0,0,0,0,perform
propose.v.05,2,ask (someone) to marry you,0,0,1,1,offer
pull_off.v.03,2,be successful; achieve a goal,0,0,1,0,manage
call_on_the_carpet.v.01,2,censure severely or angrily,0,0,0,1,lecture
suffer.v.02,1,undergo (as of injuries and illnesses),1,0,0,0,suffer
call.v.20,1,challenge (somebody) to make good on a statement; charge with or censure for an offense,0,0,0,0,call
observer.n.02,1,an expert who observes and comments on something,0,1,0,0,commentator
specify.v.04,1,be specific about,0,0,0,0,specialise
read.v.03,1,"look at, interpret, and say out loud something that is written or printed",0,0,0,0,read
besides.r.02,1,in addition,0,0,1,0,also
challenge.v.01,1,take exception to,0,1,0,0,dispute
confront.v.02,1,deal with (something unpleasant) head on,0,0,0,0,face
period.n.07,1,a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations,0,0,0,0,period
head.v.04,1,be the first or leading member of (a group) and excel,0,0,0,1,head
martyr.v.01,1,kill as a martyr,0,0,0,0,martyr
turn.v.07,1,"pass into a condition gradually, take on a specific property or attribute; become",0,0,0,0,grow
appear.v.06,1,"appear as a character on stage or appear in a play, etc.",0,0,0,1,appear
chronicle.v.01,1,record in chronological order; make a historical record,0,0,0,0,chronicle
penis.n.01,1,the male organ of copulation (`member' is a euphemism),0,1,0,1,member
servant.n.01,1,a person working in the service of another (especially in the household),0,0,0,0,servant
travel.v.04,1,travel upon or across,0,0,1,0,travel
cover.v.12,1,protect or defend (a position in a game),0,0,0,0,cover
inspector.n.01,1,a high ranking police officer,0,1,1,0,inspector
school.v.03,1,swim in or form a large group of fish,0,1,0,1,school
engage.v.08,1,hire for work or assistance,0,0,0,0,enlist
circulate.v.04,1,"move through a space, circuit or system, returning to the starting point",0,0,1,0,circulate
activity.n.04,1,(chemistry) the capacity of a substance to take part in a chemical reaction,0,0,0,1,activity
active.a.11,1,(used of verbs (e.g. `to run') and participial adjectives (e.g. `running' in `running water')) expressing action rather than a state of being,0,0,0,1,active
visualize.v.01,1,imagine; conceive of; see in one's mind,0,0,0,0,figure
play.v.10,1,bet or wager (money),0,0,0,0,play
scholarship.n.01,1,financial aid provided to a student on the basis of academic merit,0,0,1,1,scholarship
publish.v.02,1,prepare and issue for public distribution or sale,0,1,0,0,publish
childhood.n.01,1,the time of person's life when they are a child,0,0,1,0,childhood
hairdresser.n.01,1,someone who cuts or beautifies hair,0,0,1,0,hairdresser
