targets,event (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
play,play.v.12 ## bet.v.02 ## play.v.16 ## play.v.15,5,"pretend to be somebody in the framework of a game or playful activity ## stake on the outcome of an issue ## engage in an activity as if it were a game rather than take it seriously ## put (a card or piece) into play during a game, or act strategically as if in a card game",0,0,0,0,play ## play ## play ## play
"pretend, make",make.v.42,5,"represent fictitiously, as in a play, or pretend to be or act like",0,0,2,1,"pretend, make"
"conduct, lead",conduct.v.02,5,"lead, as in the performance of a composition",0,0,0,1,"conduct, lead"
"invite, receive",receive.v.05,5,express willingness to have in one's home or environs,0,1,1,1,"invite, receive"
feature,sport.v.01 ## have.v.02,4,wear or display in an ostentatious or proud manner ## have as a feature,0,0,1,1,feature ## feature
set,set.v.17 ## set_up.v.04 ## typeset.v.01,4,"insert (a nail or screw below the surface, as into a countersink) ## get ready for a particular purpose or event ## set in type",0,0,2,0,set ## set ## set
edit,edit.v.03,4,cut and assemble the components of,0,0,0,0,edit
earn,gain.v.08,4,earn on some commercial or business transaction; earn as salary or wages,0,1,1,4,earn
launch,launch.v.03 ## launch.v.06,3,launch for the first time; launch on a maiden voyage ## smoothen the surface of,0,0,0,2,launch ## launch
sign,bless.v.03 ## sign.v.01,3,make the sign of the cross over someone in order to call on God for protection; consecrate ## mark with one's signature; write one's name (on),0,0,0,1,sign ## sign
settle,settle.v.07 ## settle.v.19,3,become settled or established and stable in one's residence or life style ## get one's revenge for a wrong or an injury,0,0,3,0,settle ## settle
submit,submit.v.03,3,yield to the control of another,0,0,0,0,submit
succeed,succeed.v.02,3,be the successor (of),0,0,0,0,succeed
"honour, honor",respect.v.02,3,show respect towards,0,0,1,2,"honour, honor"
screen,screen.v.03,3,examine in order to test suitability,0,0,2,0,screen
retirement,retirement.n.01 ## retirement.n.03,3,the state of being retired from one's business or occupation ## withdrawal for prayer and study and meditation,0,0,0,0,retirement ## retirement
involve,involve.v.06,3,occupy or engage the interest of,0,0,0,2,involve
kill,kill.v.05 ## stamp_out.v.01 ## kill.v.15,3,be the source of great pain for ## end or extinguish by forceful means ## destroy a vitally essential quality of or in,1,0,1,0,kill ## kill ## kill
"transmit, send",air.v.03,3,"broadcast over the airwaves, as in radio or television",0,0,2,1,"transmit, send"
graduation,gradation.n.03 ## graduation.n.03 ## graduation.n.01,3,the act of arranging in grades ## a line (as on a vessel or ruler) that marks a measurement ## the successful completion of a program of study,0,0,0,0,graduation ## graduation ## graduation
call,call.v.20 ## call.v.02 ## call.v.21,3,challenge (somebody) to make good on a statement; charge with or censure for an offense ## ascribe a quality to or give a name of a common noun that reflects a quality ## declare in the capacity of an umpire or referee,0,0,1,2,call ## call ## call
marry,marry.v.02,3,perform a marriage ceremony,0,0,0,0,marry
bring,institute.v.02 ## bring.v.03,3,"advance or set forth in court; , ## cause to happen or to occur as a consequence",0,0,0,0,bring ## bring
decide,decide.v.01 ## decide.v.03,3,"reach, make, or come to a decision about something ## cause to decide",0,0,0,0,decide ## decide
publication,publication.n.03 ## publication.n.04,3,the communication of something to the public; making information generally known ## the business of issuing printed matter for sale or distribution,0,0,1,0,publication ## publication
hold,reserve.v.04,2,arrange for and reserve (something for someone else) in advance,0,0,1,1,hold
"premiere, premier",premier.v.02,2,perform a work for the first time,0,0,0,1,"premiere, premier"
free,exempt.v.01,2,grant relief or an exemption from a rule or requirement to,0,0,0,0,free
