event (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
sell.v.01,2,exchange or deliver for money or its equivalent,0,0,0,0,sell
arrive.v.02,2,succeed in a big way; get to the top,0,0,1,0,arrive
hire.v.01,2,engage or hire for work,0,0,0,2,hire
accuse.v.01,2,bring an accusation against; level a charge against,0,0,0,0,accuse
premier.v.01,2,be performed for the first time,0,0,0,1,"premiere, premier"
plunge.v.04,2,begin with vigor,0,0,0,1,launch
plump.v.04,2,give support (to) or make a choice (of) one out of a group or number,0,0,1,0,go
deliver.v.07,2,"utter (an exclamation, noise, etc.)",0,0,0,1,deliver
play.v.15,2,"put (a card or piece) into play during a game, or act strategically as if in a card game",0,0,0,0,play
announce.v.03,2,give the names of,0,0,0,0,announce
bring.v.02,2,cause to come into a particular state or condition,0,0,0,0,bring
put.v.07,2,cause (someone) to undergo something,0,0,0,0,put
undergone,1,undergone,0,0,0,0,undergone
accusation.n.01,1,a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt,0,0,0,0,accusation
include.v.03,1,"add as part of something else; put in as part of a set, group, or category",0,0,0,0,include
connect.v.01,1,"connect, fasten, or put together two or more pieces",0,0,0,0,link
expose.v.03,1,"to show, make visible or apparent",0,0,0,0,expose
diagnose.v.01,1,determine or distinguish the nature of a problem or an illness through a diagnostic analysis,0,0,0,0,diagnose
call.v.03,1,get or try to get into communication (with someone) by telephone,0,0,0,0,telephone
recuse.v.01,1,disqualify oneself (as a judge) in a particular case,1,0,0,0,recuse
guess.v.02,1,"put forward, of a guess, in spite of possible refutation",0,0,0,0,pretend
departure.n.01,1,the act of departing,0,0,0,0,departure
attract.v.03,1,exert a force on (a body) causing it to approach or prevent it from moving away,0,0,0,0,attract
adopt.v.01,1,"choose and follow; as of theories, ideas, policies, strategies or plans",0,1,0,0,adopt
showcased,1,showcased,0,0,0,0,showcased
test.v.01,1,"put to the test, as for its quality, or give experimental use to",0,0,0,0,try
perpetrate.v.01,1,"perform an act, usually with a negative connotation",0,0,0,0,commit
meet.v.05,1,satisfy a condition or restriction,0,0,0,0,meet
share.v.01,1,have in common,0,0,0,0,share
disappear.v.01,1,"get lost, as without warning or explanation",0,0,0,0,disappear
convert.v.08,1,score (a spare),0,0,0,0,convert
begin.v.03,1,"set in motion, cause to start",0,0,0,0,start
curated,1,curated,0,0,1,1,curated
vacate.v.01,1,"leave (a job, post, or position) voluntarily",0,0,0,0,resign
survive.v.02,1,"continue in existence after (an adversity, etc.)",0,0,0,0,survive
steal.v.01,1,take without the owner's consent,1,0,0,0,steal
ordain.v.01,1,order by virtue of superior authority; decree,0,0,0,0,ordain
meet.v.07,1,collect in one place,0,0,1,0,meet
separate.v.09,1,go one's own way; move apart,0,0,0,0,part
hear.v.03,1,examine or hear (evidence or a case) by judicial process,0,0,0,1,hear
reach.v.04,1,be in or establish communication with,0,0,0,0,contact
interview.v.02,1,discuss formally with (somebody) for the purpose of an evaluation,0,0,0,0,interview
get_the_better_of.v.01,1,win a victory over,0,0,0,1,defeat
migrate.v.01,1,move from one country or region to another and settle there,0,0,1,0,migrate
give.v.18,1,"give entirely to a specific person, activity, or cause",0,0,0,0,commit
identify.v.03,1,consider (oneself) as similar to somebody else,0,0,0,0,identify
make.v.01,1,engage in,0,0,0,0,make
tie.v.02,1,"finish a game with an equal number of points, goals, etc.",0,0,0,1,tie
absence.n.04,1,"the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy",0,0,0,0,absence
discover.v.03,1,"make a discovery, make a new finding",0,0,0,0,discover
roll_up.v.02,1,get or gather together,0,0,0,0,compile
drop.v.17,1,"take (a drug, especially LSD), by mouth",0,0,0,0,drop
pensioner.n.01,1,the beneficiary of a pension fund,0,0,1,1,pensioner
influence.v.01,1,have and exert influence or effect,0,0,0,0,influence
advertise.v.02,1,make publicity for; try to sell (a product),0,0,0,0,promote
detect.v.01,1,"discover or determine the existence, presence, or fact of",0,0,0,0,find
degree.n.07,1,"the seriousness of something (e.g., a burn or crime)",0,0,0,0,degree
give_up.v.11,1,allow the other (baseball) team to score,0,0,0,0,allow
target.v.01,1,intend (something) to move towards a certain goal,0,0,1,0,place
forgiveness.n.01,1,compassionate feelings that support a willingness to forgive,1,0,0,0,forgiveness
buy.v.01,1,obtain by purchase; acquire by means of a financial transaction,0,0,0,0,purchase
finally.r.01,1,after an unspecified period of time or an especially long delay,0,0,0,0,eventually
fall.v.07,1,"die, as in battle or in a hunt",0,0,0,0,fall
establish.v.08,1,use as a basis for; found on,0,0,0,0,found
introduce.v.07,1,"bring before the public for the first time, as of an actor, song, etc.",0,0,0,0,introduce
subject.v.01,1,cause to experience or suffer or make liable or vulnerable to,0,0,0,0,subject
confer.v.02,1,present,0,0,0,0,bestow
examination.n.01,1,the act of examining something closely (as for mistakes),0,1,0,1,examination
experience.v.03,1,go through (mental or physical states or experiences),0,0,0,0,experience
adapt.v.01,1,"make fit for, or change to suit a new purpose",0,0,0,0,adapt
hail.v.02,1,be a native of,0,0,1,0,hail
approach.v.05,1,"make advances to someone, usually with a proposal or suggestion",0,0,0,0,approach
finish_up.v.02,1,finally be or do something,0,0,0,0,finish
reject.v.06,1,refuse entrance or membership,0,0,0,0,refuse
cash.v.01,1,exchange for cash,0,0,0,0,cash
debut.v.02,1,appear for the first time in public,0,0,0,0,debut
bribe.v.01,1,make illegal payments to in exchange for favors or influence,0,0,1,1,buy
come.v.01,1,"move toward, travel toward something or somebody or approach something or somebody",0,0,0,0,come
transfer.v.05,1,cause to change ownership,0,0,0,1,transfer
admit.v.03,1,"allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of",0,0,1,0,include
specialize.v.03,1,suit to a special purpose,0,0,0,1,specialize
connect.v.03,1,be or become joined or united or linked,0,0,0,1,join
spend.v.03,1,spend completely,0,0,0,0,spend
induce.v.02,1,cause to do; cause to act in a specified manner,0,0,0,0,make
post.v.07,1,transfer (entries) from one account book to another,0,0,0,0,post
debut.v.01,1,present for the first time to the public,0,0,0,0,debut
