p_01,p_05,p_10,ap_01,ap_05,ap_10
0.083,0.084,0.081,1.8505883261225856e+60,inf,inf
0.136,0.097,0.089,1.2214833999972088e+53,inf,inf
0.103,0.078,0.089,2.18397892012499e+58,inf,inf
0.124,0.098,0.087,7.364735999715256e+51,inf,inf
0.079,0.074,0.085,6.585694118579655e+49,inf,inf
0.128,0.097,0.09,9.022933390599236e+51,inf,inf
0.091,0.082,0.084,1.1036654486600048e+53,inf,inf
0.07,0.077,0.08,8.90159701175152e+54,inf,inf
0.066,0.079,0.079,4.622603556166373e+62,inf,inf
0.099,0.077,0.081,4.520185323357428e+59,inf,inf
0.083,0.084,0.085,1.324627528934897e+56,inf,inf
0.074,0.082,0.084,6.54385764038371e+45,inf,inf
0.095,0.077,0.078,1.7636654788302698e+52,inf,inf
0.062,0.075,0.081,1.8076915332427594e+50,inf,inf
0.062,0.097,0.087,9.14718286018382e+59,inf,inf
0.091,0.091,0.098,7.878690063060572e+60,inf,inf
0.091,0.092,0.089,2.6750423477563135e+56,inf,inf
0.074,0.081,0.083,1.6788153651701745e+55,inf,inf
0.12,0.102,0.099,2.838269502552018e+58,inf,inf
0.074,0.075,0.084,1.921439959950396e+57,inf,inf
0.074,0.091,0.088,3.6702750515579984e+54,inf,inf
0.091,0.088,0.091,7.48082174567882e+54,inf,inf
0.033,0.059,0.079,9.883147697939081e+56,inf,inf
0.066,0.079,0.078,1.461255254699432e+49,inf,inf
0.079,0.082,0.088,2.5126894592146907e+52,inf,inf
0.079,0.081,0.095,2.1466535168728245e+50,inf,inf
0.083,0.088,0.09,9.08097830783023e+56,inf,inf
0.107,0.099,0.092,1.774405065080603e+58,inf,inf
0.112,0.09,0.086,8.972472758483512e+54,inf,inf
0.112,0.074,0.076,3.891693107379755e+59,inf,inf
0.066,0.092,0.092,1.2110474398448666e+44,inf,inf
0.07,0.09,0.089,1.480725825131787e+55,inf,inf
0.066,0.089,0.087,2.9822835394964735e+58,inf,inf
0.095,0.082,0.087,6.482212281595735e+58,inf,inf
0.074,0.076,0.084,2.1094823737326562e+54,inf,inf
0.099,0.101,0.092,2.2829254368323102e+58,inf,inf
0.091,0.087,0.088,4.59042546656641e+59,inf,inf
0.074,0.074,0.071,1.1823812123939002e+62,inf,inf
0.05,0.083,0.085,5.802531426507409e+58,inf,inf
0.095,0.079,0.08,1.605799267020918e+46,inf,inf
0.062,0.078,0.076,1.8376907554313556e+57,inf,inf
0.099,0.095,0.087,1.0641356910045173e+57,inf,inf
0.074,0.082,0.092,2.19206989905595e+61,inf,inf
0.074,0.101,0.099,2.40980883243434e+56,inf,inf
0.07,0.078,0.081,7.258169957229405e+56,inf,inf
0.07,0.088,0.088,1.191074492931286e+56,inf,inf
0.107,0.092,0.09,7.332497989698837e+59,inf,inf
0.099,0.098,0.083,1.1160088356414451e+56,inf,inf
0.091,0.089,0.091,7.081100380030572e+57,inf,inf
0.074,0.092,0.095,1.2860231762570114e+46,inf,inf
