p_01,p_05,p_10,ap_01,ap_05,ap_10
0.076,0.101,0.096,4.782540858356667e+43,inf,inf
0.116,0.097,0.105,4.268506344513636e+53,inf,inf
0.084,0.092,0.099,1.6555866302630888e+59,inf,inf
0.116,0.096,0.099,1.1399832944595312e+59,inf,inf
0.096,0.087,0.097,7.327384494924e+60,inf,inf
0.12,0.108,0.105,1.1090904766889473e+50,inf,inf
0.108,0.109,0.109,7.20737364008618e+57,inf,inf
0.096,0.105,0.099,8.815642375476645e+62,inf,inf
0.072,0.089,0.096,8.9840342035247e+62,inf,inf
0.076,0.107,0.095,1.645907040097979e+57,inf,inf
0.128,0.099,0.108,1.1922869411003934e+58,inf,inf
0.08,0.097,0.102,2.201577476050902e+57,inf,inf
0.084,0.097,0.09,4.486393717130215e+53,inf,inf
0.096,0.107,0.103,3.7686946429108424e+51,inf,inf
0.108,0.105,0.099,1.883272610043411e+57,inf,inf
0.056,0.091,0.097,3.233931117204682e+51,inf,inf
0.084,0.088,0.097,6.768701870065435e+62,inf,inf
0.084,0.09,0.095,4.816727881059811e+59,inf,inf
0.108,0.101,0.098,1.8040788988335428e+51,inf,inf
0.084,0.097,0.099,6.91578975274195e+63,inf,inf
0.1,0.097,0.094,9.235401494633283e+57,inf,inf
0.112,0.107,0.105,1.3050716067257763e+60,inf,inf
0.096,0.087,0.095,6.412897927557286e+59,inf,inf
0.096,0.093,0.093,6.891458383510763e+50,inf,inf
0.088,0.101,0.104,4.324333957471278e+59,inf,inf
0.084,0.095,0.093,8.552791922130912e+50,inf,inf
0.104,0.098,0.105,3.1057167873457583e+58,inf,inf
0.088,0.089,0.091,8.775342625218621e+57,inf,inf
0.068,0.088,0.097,2.1805194298510972e+54,inf,inf
0.1,0.081,0.087,2.805336506773623e+55,inf,inf
0.084,0.105,0.107,8.036996999095317e+48,inf,inf
0.112,0.087,0.094,5.932621960397923e+58,inf,inf
0.088,0.1,0.099,1.4712032066884693e+50,inf,inf
0.096,0.1,0.095,1.7542115023429357e+60,inf,inf
0.104,0.093,0.104,7.235602764366448e+57,inf,inf
0.1,0.093,0.098,2.6807089240030145e+58,inf,inf
0.144,0.108,0.107,1.5236125775526543e+55,inf,inf
0.116,0.103,0.113,4.433519502855455e+59,inf,inf
0.124,0.105,0.109,1.830602232885257e+57,inf,inf
0.108,0.096,0.098,4.176061138766124e+53,inf,inf
0.112,0.097,0.09,7.108835962325696e+54,inf,inf
0.08,0.088,0.086,2.35088754075891e+55,inf,inf
0.124,0.12,0.109,1.711315084490785e+57,inf,inf
0.092,0.09,0.099,8.673469936429348e+60,inf,inf
0.108,0.103,0.102,1.3356915839106373e+58,inf,inf
0.152,0.136,0.119,1.0759049018544942e+55,inf,inf
0.088,0.101,0.102,2.337731531781749e+62,inf,inf
0.088,0.083,0.091,3.109999634830427e+59,inf,inf
0.096,0.11,0.115,5.008682939333227e+58,inf,inf
0.112,0.097,0.102,1.7488921433106228e+46,inf,inf
0.116,0.103,0.1,4.321354182118318e+58,inf,inf
0.156,0.109,0.108,7.994631765318228e+55,inf,inf
0.1,0.105,0.098,3.0878835177838086e+51,inf,inf
0.096,0.093,0.099,8.544568518302157e+56,inf,inf
0.088,0.093,0.101,4.9768864317193305e+57,inf,inf
0.108,0.107,0.105,3.0429136228198146e+49,inf,inf
0.12,0.109,0.101,6.627369133077346e+56,inf,inf
0.096,0.102,0.097,2.5481427271258803e+60,inf,inf
0.112,0.101,0.105,2.476330685160151e+57,inf,inf
0.088,0.088,0.099,2.276560213340355e+56,inf,inf
0.108,0.105,0.104,1.370303391872968e+61,inf,inf
0.088,0.107,0.097,3.568805636478343e+60,inf,inf
0.1,0.093,0.093,3.18154372009622e+58,inf,inf
0.1,0.086,0.097,1.7460130090781047e+60,inf,inf
0.112,0.113,0.111,2.9195535705725986e+55,inf,inf
0.076,0.096,0.095,2.320243925410747e+59,inf,inf
0.104,0.095,0.099,9.093832548331543e+53,inf,inf
0.08,0.098,0.102,5.489457871259438e+61,inf,inf
0.084,0.093,0.095,1.7151024249186963e+59,inf,inf
0.112,0.088,0.093,9.156328163305498e+61,inf,inf
0.092,0.113,0.105,2.789647231902904e+61,inf,inf
0.06,0.081,0.086,1.395083105906223e+52,inf,inf
0.12,0.105,0.099,1.0577724289733227e+60,inf,inf
0.096,0.095,0.091,7.66120905104667e+60,inf,inf
0.088,0.093,0.097,4.9408791863027056e+53,inf,inf
0.072,0.089,0.093,1.0975390229244613e+59,inf,inf
0.136,0.096,0.1,1.1602568508360992e+57,inf,inf
0.104,0.105,0.109,1.1787479688282296e+51,inf,inf
0.1,0.1,0.097,4.325544557582856e+62,inf,inf
0.084,0.115,0.112,7.308113635437161e+54,inf,inf
0.1,0.1,0.103,6.881349978924852e+54,inf,inf
0.088,0.099,0.102,5.465130919595693e+61,inf,inf
0.092,0.082,0.097,3.48940623596344e+60,inf,inf
0.068,0.081,0.088,1.4681940747702021e+56,inf,inf
0.108,0.093,0.098,1.355550740709362e+61,inf,inf
0.116,0.105,0.101,3.949075444928516e+54,inf,inf
0.076,0.094,0.089,5.477172430853069e+63,inf,inf
0.116,0.096,0.091,2.603479145524386e+56,inf,inf
0.088,0.099,0.095,8.877601264152594e+57,inf,inf
0.1,0.089,0.087,8.103200816187618e+55,inf,inf
0.108,0.106,0.101,2.8949964307118445e+58,inf,inf
0.1,0.103,0.095,6.986943996595611e+57,inf,inf
0.128,0.107,0.108,9.038098479834692e+55,inf,inf
0.088,0.096,0.098,4.295357649418726e+60,inf,inf
0.1,0.086,0.095,2.446044415794996e+62,inf,inf
0.068,0.098,0.103,8.875992629350833e+62,inf,inf
0.108,0.1,0.099,3.6242048297810696e+57,inf,inf
0.14,0.106,0.099,1.4533040898055966e+57,inf,inf
0.068,0.092,0.088,3.1935134879979895e+61,inf,inf
0.108,0.115,0.105,1.7065845956839683e+58,inf,inf
