p_01,p_05,p_10,ap_01,ap_05,ap_10
0.337,0.328,0.322,1210148419481.555,7.701211435075919e+89,4.357364741106495e+190
0.276,0.33,0.343,6.560879852387747e+16,7.847949105034586e+93,9.734359173233305e+188
0.276,0.312,0.315,5.127236586562771e+16,3.165942587688827e+95,1.1413477528500448e+196
0.316,0.348,0.338,702468449331393.9,2.5959446965478715e+90,1.4997677370614599e+190
0.378,0.356,0.332,2824955195696.461,7.923316933331378e+88,3.454543774483624e+188
0.316,0.32,0.321,1.7927705401959976e+16,1.1351591528919136e+95,6.1765716694480746e+193
0.367,0.369,0.368,41203968195776.195,1.4830632497838832e+87,6.218885013278641e+181
0.316,0.324,0.318,2539224590250948.5,1.1867082902055441e+94,1.0097084929402429e+195
0.367,0.334,0.325,439013105900531.75,4.865451899822116e+92,1.7236788369261486e+194
0.255,0.32,0.319,19388397562455.836,4.5802293534325876e+94,2.6806828570609897e+194
0.398,0.342,0.336,19076947818886.03,1.5095345530932539e+91,1.905583144026613e+190
0.633,0.656,0.582,35768080.508,2.680688709423156e+45,2.3991458217683397e+117
0.357,0.356,0.349,70297894507226.84,1.6930344521962487e+89,1.682429786814116e+185
0.276,0.308,0.301,1.0870670536135398e+17,3.0161901005664126e+96,1.3194650029313994e+199
0.316,0.346,0.335,3515422053974421.5,3.6204259232761178e+90,1.0925642762303526e+190
0.296,0.32,0.317,2.369762095994667e+16,1.0615186102719067e+94,1.0677446454535559e+195
0.337,0.316,0.321,1502085437253623.5,3.1615082961966596e+94,1.524648671702481e+194
0.276,0.354,0.352,1.1994394654528854e+17,1.4036475426835298e+89,2.127820789492193e+184
0.296,0.346,0.328,33194264256261.453,8.772199620497321e+89,2.0424174050918334e+190
0.316,0.32,0.318,5807941571361350.0,2.0198935046116195e+93,2.0385594513445285e+195
0.357,0.356,0.328,777059281935215.9,2.1993598744904916e+89,4.793413803752059e+191
0.276,0.299,0.308,5216899893727573.0,9.077356840513625e+97,9.78623934639885e+198
0.245,0.318,0.33,3.6134048347049216e+18,5.485086128173539e+93,1.361840290045585e+190
0.357,0.318,0.327,1708492542273080.2,4.4863317553937e+95,1.5208620790691584e+193
0.347,0.316,0.337,922503953598835.9,2.9149134904024515e+93,1.8545836278900187e+190
0.398,0.344,0.351,11321748770852.898,1.3482744593702164e+92,4.719480134394522e+186
0.276,0.346,0.416,19155140865157.684,4.5937978228593715e+89,2.867185602235601e+165
0.235,0.271,0.294,2.4531411269357788e+16,1.4630943860841244e+100,1.7205889556055726e+200
