p_01,p_05,p_10,ap_01,ap_05,ap_10
0.337,0.334,0.332,12786261242489.506,5.6329656922003015e+91,1.932006155308906e+190
0.306,0.379,0.373,300773918416749.25,1.189106763811149e+84,6.105208948849439e+177
0.316,0.352,0.341,2594439818393499.5,4.677442603530045e+89,4.6332727699417726e+188
0.367,0.369,0.368,84087995658177.89,6.344829204329137e+87,2.4717966675817898e+178
0.378,0.336,0.328,35632832685350.36,1.8579876359331876e+92,2.9346747810150647e+192
0.367,0.379,0.352,22104034309012.02,8.864308923122067e+85,5.512357307919744e+184
0.439,0.356,0.344,1701171963624.781,2.5185025978668738e+89,7.15836853013939e+187
0.296,0.356,0.367,2911180049492.025,1.6490464705577466e+89,4.703047197604912e+181
0.418,0.375,0.355,17788582454967.113,8.034986421289177e+86,8.389339241438346e+183
0.408,0.395,0.377,1142104788254.198,1.2420942282420599e+82,7.802663318408545e+176
0.357,0.334,0.332,58262719897966.49,2.777629380832753e+90,8.997986180156824e+190
0.296,0.354,0.361,2.183401880697644e+16,1.0088258806185665e+90,1.1478605955321072e+183
0.245,0.33,0.328,6.16610803920625e+17,4.378517047994505e+93,4.027009028954796e+191
0.255,0.332,0.357,46701591528466.41,5.985482138568002e+89,5.926168827732812e+180
0.398,0.342,0.36,28934145844078.9,1.263790363565854e+91,6.531016692422766e+182
0.357,0.354,0.351,82929864528519.69,1.3547708354779336e+89,3.177127144418716e+185
0.327,0.365,0.366,2898359290387483.0,6.635610945838244e+87,1.271712958822066e+181
0.357,0.373,0.372,110436679305762.53,3.241704083687808e+85,1.1186517758225908e+179
0.429,0.35,0.335,9119793095461.352,1.9131852805296978e+89,1.096266476968584e+191
0.429,0.348,0.356,1627888350189.91,2.8220216564122554e+90,2.1358570880171315e+183
0.388,0.354,0.354,224697522716595.2,8.508376242260731e+88,2.6047150082975743e+185
0.337,0.369,0.381,654347136817655.0,2.4423354957836777e+87,2.4936081713725995e+176
0.388,0.373,0.365,37120810883521.47,9.580940892686279e+86,1.0252944213772816e+181
0.357,0.348,0.359,611209686382745.5,8.252535817994266e+90,1.5486521044106112e+183
0.439,0.365,0.357,184281597265.911,5.265005364886894e+86,8.884437175200379e+182
0.357,0.356,0.353,32093521688402.285,2.4662456351359875e+89,8.273505576418987e+182
0.337,0.336,0.349,26839872788875.113,7.448664742726176e+90,1.058343664568112e+182
0.316,0.332,0.344,6612514913542845.0,1.8802968640352393e+93,1.2840969679260358e+188
0.276,0.367,0.368,2.174284262873446e+16,5.920183374603741e+87,1.172936286968814e+180
0.316,0.344,0.361,5420233258004.559,2.6610821435025917e+88,3.8636311681421115e+180
0.357,0.363,0.367,869129941829951.0,4.244245512825916e+88,1.4665801763919158e+181
0.276,0.36,0.356,2.8474727904859396e+16,1.644462888287235e+88,2.9145473421697507e+184
0.337,0.338,0.352,4248886707719842.0,9.196554689113194e+92,3.650508226868284e+185
0.367,0.336,0.342,195192256233579.38,2.1352674665508477e+91,1.0887008831323043e+187
0.408,0.389,0.379,2971604556566.575,4.828078855746953e+82,4.4456014406773324e+176
0.276,0.36,0.343,8688129914572403.0,7.435144690815667e+88,2.257951675726446e+188
0.286,0.328,0.337,1.2831809360074384e+17,2.4165789732430115e+92,8.289995850950892e+189
0.429,0.346,0.336,8908146354966.398,2.82658724940655e+90,2.146978581367078e+188
0.255,0.33,0.345,9.427003852171483e+16,1.2473566359845731e+93,5.3494949072499276e+187
0.316,0.397,0.369,1.34190044779783e+16,6.545032917554782e+83,3.7745572389002517e+180
0.327,0.33,0.333,2162225277881631.8,2.0895234746198244e+93,2.8650967265783826e+190
0.357,0.369,0.345,704561384291225.0,5.612952293406114e+86,4.1299933560352625e+187
0.367,0.371,0.37,2253564276115922.5,8.770683168045755e+86,9.843793000039334e+180
0.327,0.381,0.355,4148490004944008.0,1.73027014722295e+85,2.0888199208410125e+184
0.347,0.381,0.373,21560131502541.895,1.314905313426131e+86,9.518384710479945e+178
0.347,0.405,0.359,2232105537766739.0,4.472451190524223e+82,3.575931808838406e+183
0.378,0.354,0.331,83158887281984.34,3.477237305891769e+89,1.8936626857819068e+192
0.367,0.369,0.355,8693295521932.608,2.661779946850455e+87,7.848883095549227e+182
0.347,0.363,0.374,1489576595191215.0,5.6264985452272195e+87,1.0916128771952511e+179
0.347,0.344,0.344,3625347680698.921,6.609544203512096e+88,1.949277971771376e+185
0.337,0.324,0.327,2418195153845.253,5.745286244261563e+91,4.191015221692943e+189
0.388,0.35,0.35,5219944199822.115,5.783821635897073e+89,9.330308365945987e+183
0.296,0.348,0.355,9667279628337906.0,1.837539843000132e+90,1.0207490204595057e+184
0.286,0.324,0.342,814667237842084.9,5.915399994082011e+92,2.182290245326899e+186
0.388,0.358,0.352,7871332959812.872,1.7797814425803618e+89,2.6672445448150465e+185
0.347,0.363,0.339,334135338147969.25,2.1003252034758858e+88,8.192903999636928e+188
0.316,0.352,0.337,901962432550162.2,9.831664048353351e+88,7.771943206019816e+189
0.378,0.34,0.327,38468588431678.69,1.687360699094334e+92,2.636822207363479e+193
0.306,0.356,0.352,403196048606077.06,1.7248345782687654e+89,2.104870675700368e+185
0.316,0.367,0.366,1.1952149530951894e+16,1.2078150596179874e+88,2.512337552383995e+181
0.347,0.377,0.355,147407516232236.97,7.774036128854905e+86,9.569257173623869e+183
0.265,0.332,0.351,2.069855226357791e+16,4.0346867530906865e+92,3.336709220297533e+185
0.327,0.344,0.347,556808664995445.4,6.222770491032666e+90,2.524767701921299e+186
0.367,0.344,0.339,1089524277041720.1,9.705126490747793e+91,1.1062771191547822e+189
0.265,0.375,0.376,2432087289869837.0,6.159223651313629e+85,2.992718710971388e+177
0.316,0.338,0.355,4228578619530705.0,1.1868325004407545e+93,3.0587455434568644e+183
0.367,0.34,0.344,1219142556589.427,1.8256579509792713e+90,4.238910302006087e+186
0.255,0.346,0.351,6008180697936961.0,2.7920869936271175e+90,4.63536894434486e+185
0.367,0.36,0.364,10336965980654.818,5.5168100037075464e+88,4.495269921322711e+181
0.235,0.334,0.342,4.4932352757255045e+18,4.8299191413421753e+92,1.253369383122952e+188
0.398,0.354,0.349,919631682781.884,3.454911277351669e+89,3.065372293047196e+185
0.306,0.35,0.338,445978339032974.9,1.4240136217414698e+90,7.154788735277147e+186
0.357,0.373,0.358,1611923281936662.2,1.1198402302195204e+87,1.8030744369790417e+184
0.286,0.36,0.366,5.380694893196989e+17,2.5788522507938713e+88,3.505566866529863e+180
0.347,0.348,0.367,689787468822084.2,1.6585874108986328e+90,2.5622865757721214e+181
0.388,0.373,0.354,30250644602268.7,9.366542853426804e+85,4.731683373306368e+184
0.388,0.389,0.358,100650988215132.33,3.883987388232804e+85,8.738437983088872e+182
0.337,0.34,0.356,249167881190808.12,8.913241454430482e+91,9.31986700599657e+183
0.306,0.332,0.344,8044976932501.367,2.4198168930732137e+93,3.503075582248222e+187
0.306,0.36,0.355,7.102876763907086e+16,2.186284425103317e+90,3.429543353297609e+185
0.327,0.383,0.371,61257910286349.4,4.203649564839729e+84,3.676065365796999e+178
0.357,0.348,0.336,894877021027694.9,1.6259741868088639e+91,3.2570781304097107e+190
0.347,0.358,0.36,680284410983232.8,2.670707010568271e+88,4.38515292841771e+180
0.357,0.346,0.349,540150667360274.6,7.676173699425972e+90,7.893900347344397e+186
0.316,0.34,0.346,281307989972702.0,8.980433884587998e+88,3.062305745928281e+186
0.408,0.383,0.389,2238397765024.505,3.5453533014675644e+85,6.099537681662515e+174
0.367,0.338,0.351,442762217549951.7,2.6911646636392034e+91,4.2996221777759076e+185
0.296,0.35,0.355,3952126997930529.5,1.2956464074687023e+90,3.6659838525021926e+184
0.235,0.301,0.325,4134194466126299.0,5.4461055300234745e+94,3.4857667714803525e+191
0.398,0.35,0.338,87116531385566.92,3.5870484221627213e+90,8.938518164885799e+189
0.378,0.371,0.369,235289741904551.78,5.053656434362019e+87,3.5434427570583876e+180
0.418,0.383,0.357,5492221695.296,2.802702800443264e+84,2.146851637475314e+183
0.378,0.35,0.358,49047007187484.2,7.071995791368821e+89,2.121405290522662e+183
0.224,0.326,0.348,8.39773243055598e+16,2.597794535231216e+92,3.8314630686472756e+185
0.429,0.389,0.357,1054688393971.092,4.291308432691325e+84,4.98205756358108e+183
