p_01,p_05,p_10,ap_01,ap_05,ap_10
0.286,0.318,0.335,2.9976479782172776e+16,8.128402256392247e+94,1.1268831605672378e+190
0.327,0.305,0.334,13695431196529.94,5.912982071157859e+95,1.5362397996156348e+189
0.357,0.328,0.333,25740645609311.414,7.734388769204737e+93,7.548816648515029e+191
0.347,0.338,0.357,11411741825053.873,9.25757887719252e+91,2.528115423654817e+183
0.286,0.358,0.328,1.634798786358208e+16,5.327514250417002e+88,4.071878292140788e+189
0.286,0.308,0.316,2136545822117990.0,4.908596371427592e+93,1.4035239526847993e+194
0.337,0.346,0.328,548084351717845.06,2.4241313703665646e+90,7.865696162515636e+191
0.337,0.332,0.356,16463565471700.19,1.0628343269525458e+91,1.661177903659736e+182
0.306,0.342,0.329,558400050686692.25,2.0849973066844297e+90,8.888262115165077e+191
0.418,0.381,0.385,14111901890432.31,5.969774336655276e+85,9.788046543838675e+175
0.49,0.369,0.345,452182462799.823,9.668244405077277e+87,4.3491785091916834e+188
0.306,0.322,0.335,3170551408736.79,5.477488762094227e+93,4.342993629324187e+190
0.337,0.377,0.405,72324518280602.72,4.264921875840508e+85,5.015280021189949e+169
0.296,0.332,0.334,2244411321902165.0,5.75438452026625e+91,1.1627122536636261e+190
0.541,0.515,0.501,33734839907.514,4.714109747434464e+66,2.0325700721911955e+142
0.265,0.346,0.34,2.8495208108239772e+16,1.287067021504051e+90,1.313172704238904e+189
0.327,0.342,0.347,1.0279785327353026e+16,1.0267714256089985e+92,1.8241544494375947e+186
0.306,0.338,0.333,1.980705965169451e+16,8.96654754452803e+91,9.653332396828365e+190
0.327,0.346,0.361,2834800093435069.5,4.20759223163531e+90,6.448835746318232e+180
0.337,0.328,0.349,124992208603569.95,5.744770539304439e+92,6.336808534737189e+185
0.347,0.342,0.334,260198345873879.34,9.122222792451282e+90,2.542205741834167e+189
0.286,0.312,0.31,4.1025206545785624e+16,1.0181205040290209e+96,1.1019267092403105e+197
0.357,0.365,0.358,187421504782290.9,5.6792632933287446e+88,2.051674480729173e+184
0.296,0.316,0.316,692219938011538.6,9.487002421795932e+94,1.3812777974968365e+195
0.378,0.336,0.351,8445417068765.213,1.106237612428604e+91,2.392202913300044e+185
0.357,0.358,0.354,56337786913105.875,9.549095359558018e+87,2.3347085176225046e+184
0.378,0.322,0.316,79879813984507.98,5.677468976677242e+94,1.0255845376127042e+196
0.378,0.344,0.335,52429172228924.6,6.73289500524231e+88,1.7734548270517306e+189
