p_01,p_05,p_10,ap_01,ap_05,ap_10
0.357,0.342,0.333,94567101726311.58,9.057209885716018e+89,8.04061725801963e+189
0.612,0.65,0.581,74096419.486,5.444362400686072e+47,6.08987586680909e+117
0.398,0.363,0.359,9079198829448.96,8.697521135267827e+86,1.8326125682309022e+182
0.265,0.291,0.312,1635148843380741.2,1.5492914792041624e+97,2.6640305477311128e+194
0.388,0.358,0.343,36689134228207.57,9.221216048456551e+88,1.10843505871734e+187
0.327,0.318,0.312,9773141101719756.0,7.290061970237432e+94,7.993097446207116e+196
0.337,0.352,0.352,102944177226673.95,1.5319741349211492e+89,1.0414879826859252e+185
0.337,0.324,0.311,101439696750574.47,1.6130374768117528e+94,6.585830328897657e+196
0.296,0.291,0.307,5414505974783184.0,8.330646988628618e+96,5.418791465604117e+197
0.337,0.346,0.346,480360750875083.1,1.7120387600246956e+90,4.55236206340822e+186
0.327,0.257,0.287,3310130972464786.5,2.560220540315082e+101,6.689865166393035e+204
0.286,0.336,0.313,4508343138019032.0,6.958379411748399e+91,2.7169948174940925e+195
0.286,0.277,0.301,2292895324994177.5,6.189096475888486e+98,4.8694625978686235e+197
0.276,0.303,0.311,158447902945393.6,4.883039057369037e+94,5.35433548357713e+192
0.388,0.308,0.327,282972287264.167,4.894483200852944e+94,6.944601933182155e+191
0.388,0.346,0.342,121129145552277.67,1.7473092236053313e+91,1.776187053711205e+188
0.316,0.316,0.325,770543179991791.4,1.4692870376982094e+95,7.513791533508379e+192
0.663,0.644,0.585,5410196.138,1.7981753544947327e+48,3.607661907651814e+117
0.224,0.312,0.351,3.0756722712549926e+17,2.0878015971246192e+94,1.0877444393782477e+184
0.367,0.336,0.323,479898054666391.94,6.983033686623651e+92,1.9002889807501593e+194
0.286,0.344,0.339,9343834616725356.0,1.2240461540015779e+90,2.5668624045951397e+189
0.367,0.377,0.354,98589023040900.25,2.7913551226923817e+85,1.6082967377315253e+185
0.327,0.322,0.292,7378571538206878.0,1.7429612878980903e+95,4.098444703116062e+203
0.357,0.314,0.322,1222193661895499.0,8.254159326903156e+95,2.4533396411975633e+194
0.316,0.326,0.329,5646729820290339.0,6.327242014744666e+93,1.7397595706088284e+192
0.378,0.338,0.317,449209741044592.8,1.0534325877582708e+91,5.536170224959606e+196
0.235,0.291,0.301,4.4030693272936484e+18,1.2028500423867176e+98,1.2506719514598092e+200
0.378,0.301,0.31,6427228292456.24,6.1744115200762064e+97,6.785646962893693e+197
0.245,0.283,0.34,2.1525896548275514e+17,2.6645774482248314e+99,1.3968597433208863e+189
0.255,0.283,0.291,1.1356952397370192e+17,2.4255160415610795e+100,7.207766993938665e+203
0.367,0.365,0.341,3362788259442416.5,2.3788518849937538e+89,1.2328270699130482e+189
0.398,0.352,0.334,29898485869425.938,2.469586341395086e+90,2.0029138026390685e+191
0.541,0.593,0.568,6409282422.422,7.968764873055419e+54,1.3389135744131949e+122
0.306,0.352,0.333,315234832441186.06,3.0824225961205963e+90,8.00915843205872e+191
0.316,0.352,0.33,3.318467257163261e+16,4.492865404988916e+90,3.544499424185962e+192
0.347,0.332,0.339,80034636438662.53,1.4544327715693127e+93,1.3434824137872108e+188
0.265,0.312,0.315,139012794013590.31,1.875569842391501e+94,1.312229226244008e+194
0.357,0.363,0.323,375288259425278.5,4.123511201084624e+88,1.536318678276878e+193
0.265,0.32,0.318,1.5241845822240645e+18,1.7808739248783265e+95,1.9045982901840724e+194
0.316,0.318,0.341,2.93435044041512e+16,7.611269992473898e+94,7.569058897894097e+188
0.276,0.293,0.31,1.0090041546199846e+17,1.7649740403704524e+98,4.402210099679635e+197
0.306,0.297,0.298,1375083162725659.5,3.4826561754258134e+96,9.972331469699136e+198
0.418,0.326,0.33,176548292602.685,4.450506456807694e+92,2.4252520034691342e+190
0.347,0.328,0.313,33228953907671.285,3.202168782502616e+93,9.858734008235243e+196
0.357,0.301,0.314,552955155788.087,1.3137376275742706e+93,2.188820535250218e+193
