p_01,p_05,p_10,ap_01,ap_05,ap_10
0.12,0.112,0.095,1.7188801943105644e+60,inf,inf
0.084,0.098,0.095,2.2171751333329275e+56,inf,inf
0.088,0.092,0.101,5.81609783734406e+50,inf,inf
0.076,0.091,0.098,4.217888646477079e+59,inf,inf
0.164,0.117,0.098,1.186958147975524e+56,inf,inf
0.14,0.114,0.109,5.976039004599621e+58,inf,inf
0.1,0.092,0.098,1.1692156171593798e+47,inf,inf
0.08,0.085,0.095,5.074090998141402e+62,inf,inf
0.148,0.106,0.103,1.908336151306093e+52,inf,inf
0.1,0.093,0.099,4.2852457913752076e+57,inf,inf
0.116,0.093,0.093,3.659550155630957e+52,inf,inf
0.136,0.117,0.103,3.028285505898326e+58,inf,inf
0.108,0.089,0.096,1.063094391004322e+62,inf,inf
0.084,0.101,0.101,3.343089199312089e+57,inf,inf
0.108,0.108,0.101,9.655788183369542e+58,inf,inf
0.12,0.105,0.102,6.596035707263425e+54,inf,inf
0.112,0.105,0.101,2.0752962532872307e+52,inf,inf
0.116,0.097,0.1,4.372526271608912e+60,inf,inf
0.084,0.105,0.106,5.092529016116365e+56,inf,inf
0.072,0.103,0.101,1.114710453130531e+59,inf,inf
0.124,0.098,0.102,1.8734726903010662e+57,inf,inf
0.116,0.107,0.105,1.573094629758152e+58,inf,inf
0.124,0.099,0.1,3.1492909811483015e+57,inf,inf
0.064,0.089,0.091,6.064430929598902e+52,inf,inf
0.084,0.102,0.101,8.686425381694346e+53,inf,inf
0.092,0.097,0.095,2.836046531875733e+49,inf,inf
0.104,0.095,0.09,1.731091195091581e+61,inf,inf
0.132,0.105,0.099,3.676814359129742e+57,inf,inf
0.112,0.1,0.093,3.463744204009464e+60,inf,inf
0.112,0.083,0.087,2.6593208255366976e+52,inf,inf
0.088,0.105,0.099,5.403977936921093e+58,inf,inf
0.1,0.101,0.1,1.6227270978144542e+56,inf,inf
0.076,0.107,0.1,8.218078418595556e+60,inf,inf
0.104,0.102,0.096,7.748128388894475e+58,inf,inf
0.068,0.092,0.101,8.780866491439433e+59,inf,inf
0.064,0.098,0.097,2.7237384588248125e+46,inf,inf
0.084,0.092,0.095,5.727885480330763e+61,inf,inf
0.132,0.113,0.113,1.583095858384906e+56,inf,inf
0.136,0.116,0.104,4.4037639833026663e+58,inf,inf
0.096,0.104,0.099,1.538943463696973e+62,inf,inf
0.08,0.111,0.1,1.1837125929083152e+57,inf,inf
0.096,0.097,0.1,3.860964089713026e+61,inf,inf
0.096,0.109,0.109,1.4101413860329377e+59,inf,inf
0.088,0.108,0.104,8.531758540723989e+59,inf,inf
0.084,0.09,0.087,1.7981642718187966e+57,inf,inf
0.108,0.102,0.098,4.413551659119773e+53,inf,inf
0.088,0.109,0.105,2.3782342233393474e+61,inf,inf
0.124,0.101,0.095,1.1028064237215656e+61,inf,inf
0.12,0.111,0.105,2.623833309976882e+56,inf,inf
0.096,0.105,0.099,4.266611606417e+58,inf,inf
0.12,0.116,0.109,3.3089126518927684e+59,inf,inf
0.076,0.101,0.099,1.536259446126692e+58,inf,inf
0.092,0.086,0.096,1.1112055677915027e+57,inf,inf
0.108,0.114,0.106,1.3858633834403474e+58,inf,inf
0.124,0.105,0.104,8.89919339160842e+59,inf,inf
0.104,0.103,0.103,2.268953992475807e+59,inf,inf
0.128,0.113,0.103,3.2341365107982376e+59,inf,inf
0.068,0.09,0.097,2.700552005166101e+53,inf,inf
0.108,0.102,0.103,3.230794658660805e+59,inf,inf
0.108,0.108,0.102,2.748302399602747e+55,inf,inf
0.088,0.095,0.094,2.091836775262988e+61,inf,inf
0.088,0.103,0.103,3.376393243690363e+59,inf,inf
0.144,0.111,0.109,2.5113762327002916e+59,inf,inf
0.108,0.117,0.111,4.847052683444325e+59,inf,inf
0.088,0.104,0.101,1.4159637666087957e+58,inf,inf
0.116,0.109,0.107,1.203865439817295e+59,inf,inf
0.112,0.102,0.097,7.059796171269956e+54,inf,inf
0.12,0.106,0.099,2.729358211036547e+58,inf,inf
0.092,0.092,0.096,2.869991038992497e+53,inf,inf
0.108,0.106,0.101,1.7724375854944463e+48,inf,inf
0.132,0.102,0.095,1.0640546392025103e+58,inf,inf
0.128,0.101,0.101,3.464036253804622e+56,inf,inf
0.072,0.097,0.099,1.243788023280096e+53,inf,inf
0.132,0.113,0.103,3.7584581804855944e+48,inf,inf
0.076,0.094,0.1,1.4413940175130117e+58,inf,inf
0.076,0.097,0.101,3.4855547797308396e+57,inf,inf
0.084,0.089,0.095,8.642851114933238e+59,inf,inf
0.104,0.102,0.104,3.731929149072254e+62,inf,inf
0.1,0.097,0.096,8.714217801066189e+59,inf,inf
0.12,0.101,0.098,3.541364751647255e+55,inf,inf
0.088,0.097,0.096,5.374436040024018e+59,inf,inf
0.108,0.106,0.096,4.1254133140226533e+58,inf,inf
0.084,0.114,0.108,2.801957322748395e+59,inf,inf
0.104,0.102,0.105,2.844983101244288e+58,inf,inf
0.096,0.101,0.096,2.904925404414555e+55,inf,inf
