p_01,p_05,p_10,ap_01,ap_05,ap_10
0.224,0.289,0.309,1.5739386263339267e+18,7.498092243849947e+97,2.82442795648905e+198
0.276,0.32,0.315,3371565891697333.5,3.695296029052598e+94,7.050941782492073e+195
0.296,0.33,0.345,6249796874081761.0,3.131028933708899e+92,5.054581338302746e+186
0.306,0.326,0.32,913190555179542.5,1.537117569183157e+94,1.212474359919452e+195
0.347,0.314,0.332,491354894531245.25,1.1147641580577031e+95,7.122875157467077e+190
0.296,0.424,0.446,2538312695871360.5,1.31655945465753e+78,1.0166050535226498e+157
0.296,0.32,0.323,9507067577818852.0,7.806430047252792e+94,9.019065626956626e+193
0.245,0.279,0.29,620518909053855.6,2.1591202492618092e+97,1.823931988624526e+200
0.235,0.32,0.314,3.2750431783006285e+17,5.709878672668061e+94,4.680468648146595e+196
0.337,0.322,0.351,19967045801455.07,4.548564173883147e+93,6.786420165646448e+184
0.316,0.35,0.365,669177430885345.0,2.012276173426258e+85,4.025826950126016e+179
0.337,0.32,0.322,622214820798691.0,2.3685214986497005e+91,1.2976023506158005e+194
0.347,0.336,0.329,4760152892172562.0,2.5169186835858822e+92,1.1591574387371104e+193
0.347,0.326,0.341,53499628952595.93,8.683061013406372e+91,1.399399440122259e+187
0.327,0.334,0.354,321882377501674.5,1.9282291191832698e+91,3.6660634569113965e+183
0.378,0.334,0.332,199820716780475.1,9.633416477477834e+91,3.6776198370012e+191
0.388,0.336,0.317,136405854195679.58,8.492749267222376e+92,9.561530340226973e+195
0.316,0.322,0.311,9031491508817708.0,8.47707254635742e+94,6.841818578867516e+197
0.337,0.342,0.327,78884761693600.33,1.2582603098873417e+91,1.5999933217223215e+192
0.306,0.297,0.311,872296561612004.6,2.106290856848136e+98,5.6359700770725016e+197
0.367,0.348,0.341,986543897997878.4,2.665947189307663e+90,4.589286250910204e+188
0.367,0.356,0.332,89867797349143.12,2.869347543019274e+89,4.9567156837602634e+190
0.347,0.413,0.454,1605728813042039.5,9.885911279824062e+80,1.222021389075274e+155
0.347,0.338,0.351,3096812360482887.0,9.007172903560002e+91,7.635981614855514e+185
0.255,0.318,0.32,8.967625134025166e+16,1.355981366425995e+94,1.8254951478864096e+192
0.296,0.33,0.318,19679309737549.72,2.126095064693608e+91,1.58673993880532e+192
0.408,0.334,0.302,3986502121524.694,4.6907493298208263e+92,5.411689837400261e+199
0.388,0.336,0.342,161970514519105.8,4.0899832903060366e+91,6.613500312964712e+188
