p_01,p_05,p_10,ap_01,ap_05,ap_10
0.062,0.072,0.079,4.220706235410157e+58,inf,inf
0.079,0.076,0.084,7.315548753992365e+57,inf,inf
0.087,0.078,0.084,2.408198708723261e+59,inf,inf
0.058,0.085,0.085,4.503200854710528e+50,inf,inf
0.107,0.097,0.083,9.004571007795096e+56,inf,inf
0.112,0.092,0.091,9.154973380081138e+54,inf,inf
0.091,0.083,0.081,9.690475024099325e+56,inf,inf
0.058,0.078,0.08,1.1212841315233559e+52,inf,inf
0.074,0.082,0.084,1.087974745526999e+61,inf,inf
0.083,0.083,0.077,4.441447925207655e+54,inf,inf
0.087,0.076,0.083,3.860635073219763e+54,inf,inf
0.099,0.097,0.089,6.030131531706016e+58,inf,inf
0.095,0.083,0.081,6.345032350802826e+58,inf,inf
0.087,0.096,0.093,2.261690023649098e+57,inf,inf
0.074,0.078,0.088,1.1671149903240773e+62,inf,inf
0.074,0.088,0.084,9.50518011073571e+59,inf,inf
0.07,0.076,0.086,1.1976804474210674e+62,inf,inf
0.112,0.087,0.085,1.4815371692962823e+52,inf,inf
0.091,0.089,0.085,1.9074086169149173e+57,inf,inf
0.079,0.088,0.088,1.372149084237619e+55,inf,inf
0.095,0.085,0.087,7.155690594409047e+51,inf,inf
0.079,0.096,0.09,1.8328875751412356e+61,inf,inf
0.112,0.082,0.078,9.607296103561446e+56,inf,inf
0.083,0.083,0.081,2.0349672486460776e+52,inf,inf
0.103,0.096,0.087,3.610986178850731e+60,inf,inf
0.099,0.092,0.089,6.183152279893055e+52,inf,inf
0.062,0.082,0.088,1.6887021274412187e+51,inf,inf
0.066,0.088,0.087,3.067551448092002e+58,inf,inf
0.107,0.08,0.084,1.2519831255065145e+56,inf,inf
0.079,0.086,0.086,4.543049605448967e+59,inf,inf
0.116,0.098,0.098,2.2322869608310007e+56,inf,inf
0.058,0.075,0.083,6.078812514589503e+55,inf,inf
0.066,0.088,0.079,1.978570415571759e+60,inf,inf
0.083,0.1,0.089,4.176114721430366e+51,inf,inf
0.083,0.082,0.087,1.921300513199777e+51,inf,inf
0.07,0.083,0.088,4.4984609590267024e+51,inf,inf
0.079,0.091,0.097,8.241101400996694e+60,inf,inf
0.091,0.088,0.092,1.447304585624918e+58,inf,inf
0.091,0.078,0.085,2.7049691410635653e+60,inf,inf
0.091,0.091,0.095,2.492962507371991e+53,inf,inf
0.095,0.08,0.086,3.239566332529033e+54,inf,inf
0.107,0.083,0.085,6.960100505682026e+54,inf,inf
0.045,0.072,0.083,7.405971033767754e+57,inf,inf
0.095,0.088,0.088,3.3801715875620622e+47,inf,inf
0.083,0.088,0.094,2.2040369947242587e+53,inf,inf
0.112,0.085,0.081,2.252467008718093e+59,inf,inf
0.091,0.096,0.092,3.027467496846729e+58,inf,inf
0.116,0.088,0.085,2.789969105291494e+55,inf,inf
0.087,0.085,0.085,1.0142846441090842e+48,inf,inf
0.07,0.067,0.071,2.3049630405404652e+59,inf,inf
