p_01,a_01,p_05,a_05,p_10,a_10
0.316,31,0.332,163,0.327,321
0.367,36,0.35,172,0.34,334
0.286,28,0.358,176,0.351,345
0.306,30,0.332,163,0.335,329
0.418,41,0.413,203,0.412,405
0.306,30,0.367,180,0.335,329
0.347,34,0.365,179,0.353,347
0.357,35,0.367,180,0.366,360
0.255,25,0.322,158,0.338,332
0.316,31,0.34,167,0.339,333
0.347,34,0.35,172,0.323,318
0.296,29,0.369,181,0.365,359
0.429,42,0.336,165,0.331,325
0.245,24,0.328,161,0.342,336
0.367,36,0.348,171,0.357,351
0.296,29,0.301,148,0.32,315
0.265,26,0.336,165,0.316,311
0.306,30,0.32,157,0.322,317
0.316,31,0.367,180,0.39,383
0.337,33,0.314,154,0.33,324
0.306,30,0.338,166,0.338,332
0.347,34,0.295,145,0.322,317
0.367,36,0.336,165,0.328,322
0.204,20,0.32,157,0.336,330
0.429,42,0.375,184,0.371,365
0.184,18,0.295,145,0.326,320
0.347,34,0.387,190,0.386,379
0.378,37,0.316,155,0.34,334
0.265,26,0.352,173,0.334,328
0.337,33,0.308,151,0.314,309
0.337,33,0.334,164,0.333,327
0.398,39,0.31,152,0.326,320
0.367,36,0.358,176,0.348,342
0.643,63,0.652,320,0.578,568
0.347,34,0.328,161,0.337,331
0.286,28,0.34,167,0.335,329
0.306,30,0.297,146,0.322,317
0.296,29,0.326,160,0.331,325
0.296,29,0.356,175,0.353,347
0.306,30,0.328,161,0.334,328
0.347,34,0.373,183,0.369,363
0.367,36,0.35,172,0.353,347
0.459,45,0.418,205,0.424,417
0.255,25,0.31,152,0.337,331
0.357,35,0.312,153,0.329,323
0.367,36,0.326,160,0.344,338
0.296,29,0.326,160,0.312,307
0.316,31,0.328,161,0.342,336
0.265,26,0.303,149,0.338,332
0.378,37,0.381,187,0.381,375
0.337,33,0.32,157,0.33,324
0.327,32,0.352,173,0.326,320
0.398,39,0.407,200,0.386,379
0.276,27,0.312,153,0.345,339
0.286,28,0.326,160,0.362,356
0.316,31,0.32,157,0.326,320
0.296,29,0.34,167,0.348,342
0.286,28,0.328,161,0.327,321
0.306,30,0.334,164,0.338,332
0.347,34,0.385,189,0.376,370
0.388,38,0.326,160,0.309,304
0.327,32,0.316,155,0.333,327
0.357,35,0.344,169,0.332,326
0.439,43,0.348,171,0.36,354
0.306,30,0.377,185,0.355,349
0.276,27,0.352,173,0.352,346
0.276,27,0.316,155,0.343,337
0.296,29,0.332,163,0.352,346
0.316,31,0.332,163,0.338,332
0.449,44,0.354,174,0.337,331
0.306,30,0.34,167,0.358,352
0.245,24,0.303,149,0.327,321
0.388,38,0.336,165,0.329,323
0.337,33,0.352,173,0.347,341
