p_01,a_01,p_05,a_05,p_10,a_10
0.327,32,0.31,152,0.303,298
0.316,31,0.32,157,0.319,314
0.367,36,0.344,169,0.316,311
0.347,34,0.34,167,0.33,324
0.367,36,0.369,181,0.368,362
0.235,23,0.265,130,0.293,288
0.306,30,0.31,152,0.322,317
0.327,32,0.33,162,0.326,320
0.388,38,0.348,171,0.338,332
0.347,34,0.275,135,0.281,276
0.276,27,0.275,135,0.301,296
0.245,24,0.277,136,0.302,297
0.398,39,0.344,169,0.326,320
0.357,35,0.342,168,0.335,329
0.408,40,0.477,234,0.494,486
0.286,28,0.31,152,0.31,305
0.296,29,0.299,147,0.304,299
0.347,34,0.328,161,0.329,323
0.265,26,0.354,174,0.335,329
0.286,28,0.336,165,0.334,328
0.408,40,0.32,157,0.338,332
0.357,35,0.334,164,0.332,326
0.327,32,0.334,164,0.341,335
0.327,32,0.312,153,0.331,325
0.276,27,0.308,151,0.312,307
0.327,32,0.308,151,0.299,294
0.245,24,0.273,134,0.305,300
0.306,30,0.32,157,0.321,316
0.286,28,0.303,149,0.33,324
0.357,35,0.33,162,0.323,318
0.398,39,0.35,172,0.337,331
0.265,26,0.277,136,0.283,278
0.286,28,0.328,161,0.337,331
0.622,61,0.658,323,0.583,573
0.306,30,0.332,163,0.326,320
0.327,32,0.326,160,0.34,334
0.378,37,0.328,161,0.33,324
0.276,27,0.33,162,0.339,333
0.265,26,0.318,156,0.322,317
0.306,30,0.33,162,0.325,319
0.235,23,0.32,157,0.369,363
0.367,36,0.36,177,0.333,327
0.286,28,0.334,164,0.334,328
0.347,34,0.318,156,0.307,302
0.286,28,0.344,169,0.34,334
0.357,35,0.33,162,0.317,312
0.306,30,0.338,166,0.318,313
0.306,30,0.31,152,0.305,300
0.276,27,0.269,132,0.315,310
0.367,36,0.334,164,0.311,306
0.255,25,0.285,140,0.304,299
0.316,31,0.34,167,0.33,324
0.388,38,0.324,159,0.325,319
0.235,23,0.289,142,0.302,297
0.286,28,0.312,153,0.331,325
0.306,30,0.33,162,0.374,368
0.327,32,0.344,169,0.341,335
0.357,35,0.356,175,0.357,351
