p_01,a_01,p_05,a_05,p_10,a_10
0.103,25,0.088,107,0.09,218
0.095,23,0.11,133,0.097,234
0.087,21,0.092,112,0.097,234
0.12,29,0.095,115,0.085,207
0.05,12,0.077,93,0.08,193
0.083,20,0.102,124,0.097,235
0.079,19,0.081,98,0.088,214
0.07,17,0.081,98,0.079,192
0.091,22,0.083,100,0.096,232
0.091,22,0.094,114,0.09,217
0.087,21,0.096,116,0.092,222
0.074,18,0.074,90,0.071,172
0.112,27,0.098,119,0.098,238
0.066,16,0.08,97,0.079,191
0.087,21,0.096,116,0.096,232
0.095,23,0.085,103,0.085,206
0.128,31,0.088,107,0.083,200
0.099,24,0.095,115,0.092,223
0.079,19,0.083,101,0.085,207
0.091,22,0.092,111,0.087,211
0.087,21,0.081,98,0.079,192
0.058,14,0.076,92,0.08,194
0.12,29,0.089,108,0.091,221
0.074,18,0.08,97,0.083,202
0.091,22,0.087,105,0.081,195
0.099,24,0.1,121,0.092,224
0.087,21,0.095,115,0.081,197
0.083,20,0.098,119,0.088,212
0.066,16,0.091,110,0.091,220
0.066,16,0.089,108,0.086,209
0.066,16,0.076,92,0.083,200
0.095,23,0.088,107,0.084,204
0.103,25,0.089,108,0.085,205
0.116,28,0.107,130,0.097,235
0.103,25,0.096,116,0.093,226
0.083,20,0.085,103,0.087,211
0.079,19,0.087,105,0.09,219
0.074,18,0.082,99,0.078,188
0.107,26,0.094,114,0.09,218
0.083,20,0.089,108,0.084,204
0.05,12,0.075,91,0.079,191
0.087,21,0.092,111,0.089,215
0.087,21,0.093,113,0.098,238
0.07,17,0.082,99,0.091,221
0.107,26,0.097,117,0.095,229
0.058,14,0.095,115,0.088,213
0.083,20,0.091,110,0.087,211
0.087,21,0.083,100,0.085,206
0.079,19,0.086,104,0.088,212
0.091,22,0.087,105,0.088,213
0.095,23,0.096,116,0.094,227
0.087,21,0.085,103,0.095,229
0.037,9,0.055,67,0.078,190
0.079,19,0.082,99,0.082,199
0.062,15,0.078,95,0.084,204
0.099,24,0.086,104,0.084,204
0.066,16,0.089,108,0.088,212
0.079,19,0.074,90,0.081,196
0.07,17,0.079,96,0.081,195
0.112,27,0.103,125,0.091,221
0.112,27,0.083,101,0.095,229
0.087,21,0.092,112,0.097,235
0.054,13,0.079,96,0.077,187
0.062,15,0.082,99,0.085,206
0.083,20,0.08,97,0.081,195
0.058,14,0.077,93,0.078,188
0.124,30,0.102,124,0.097,234
0.045,11,0.052,63,0.076,185
0.066,16,0.088,107,0.09,218
0.087,21,0.088,106,0.081,197
0.107,26,0.094,114,0.088,212
0.07,17,0.091,110,0.087,210
0.12,29,0.104,126,0.099,239
0.107,26,0.092,112,0.082,198
