p_01,a_01,p_05,a_05,p_10,a_10
0.064,16,0.087,109,0.1,251
0.092,23,0.096,120,0.09,226
0.088,22,0.086,108,0.097,242
0.116,29,0.086,108,0.093,233
0.108,27,0.094,118,0.091,228
0.08,20,0.111,139,0.1,251
0.12,30,0.105,132,0.097,243
0.092,23,0.09,113,0.095,237
0.088,22,0.096,120,0.091,228
0.088,22,0.095,119,0.094,236
0.104,26,0.088,110,0.087,219
0.06,15,0.09,113,0.087,219
0.08,20,0.097,121,0.099,248
0.108,27,0.092,115,0.09,226
0.076,19,0.085,106,0.092,230
0.092,23,0.098,123,0.101,252
0.056,14,0.101,126,0.097,244
0.116,29,0.116,145,0.107,268
0.104,26,0.089,111,0.093,233
0.108,27,0.105,132,0.101,252
0.084,21,0.101,127,0.102,255
0.076,19,0.097,122,0.092,231
0.08,20,0.101,126,0.104,261
0.088,22,0.107,134,0.101,252
0.076,19,0.077,97,0.085,213
0.084,21,0.097,121,0.095,238
0.116,29,0.106,133,0.103,258
0.116,29,0.109,137,0.099,248
0.08,20,0.097,121,0.102,256
0.08,20,0.097,122,0.103,257
0.08,20,0.081,101,0.086,215
0.1,25,0.089,112,0.09,225
0.112,28,0.101,127,0.105,262
0.104,26,0.108,135,0.103,259
0.084,21,0.088,110,0.093,232
0.1,25,0.089,112,0.085,212
0.1,25,0.089,112,0.088,220
0.092,23,0.102,128,0.1,251
0.076,19,0.097,121,0.1,250
0.104,26,0.1,125,0.101,252
0.1,25,0.101,126,0.096,240
0.068,17,0.102,128,0.101,253
0.064,16,0.091,114,0.097,242
0.128,32,0.1,125,0.103,258
0.088,22,0.094,118,0.099,249
0.1,25,0.098,123,0.089,222
0.108,27,0.097,122,0.095,239
0.104,26,0.093,117,0.089,222
0.096,24,0.097,122,0.099,247
0.076,19,0.089,112,0.095,237
0.064,16,0.089,111,0.091,228
0.116,29,0.094,118,0.106,265
0.072,18,0.099,124,0.105,264
0.104,26,0.115,144,0.105,263
0.076,19,0.088,110,0.094,236
0.104,26,0.102,128,0.096,241
0.088,22,0.09,113,0.094,235
0.068,17,0.101,126,0.095,238
0.116,29,0.101,127,0.099,247
0.112,28,0.1,125,0.105,264
0.06,15,0.105,132,0.098,246
0.1,25,0.113,142,0.111,278
0.104,26,0.095,119,0.093,233
0.096,24,0.093,116,0.092,230
0.08,20,0.104,130,0.099,248
0.092,23,0.1,125,0.101,252
0.092,23,0.087,109,0.09,225
0.068,17,0.095,119,0.094,236
0.06,15,0.08,100,0.093,234
0.112,28,0.093,117,0.101,252
0.076,19,0.1,125,0.102,256
0.092,23,0.087,109,0.094,235
0.088,22,0.09,113,0.094,235
0.064,16,0.088,110,0.098,246
