p_01,a_01,p_05,a_05,p_10,a_10
0.099,24,0.094,114,0.09,219
0.079,19,0.094,114,0.086,208
0.107,26,0.075,91,0.081,197
0.079,19,0.095,115,0.086,209
0.095,23,0.083,100,0.083,201
0.062,15,0.082,99,0.082,198
0.07,17,0.073,89,0.072,175
0.087,21,0.091,110,0.083,201
0.079,19,0.074,90,0.082,199
0.07,17,0.078,95,0.079,192
0.062,15,0.089,108,0.086,208
0.087,21,0.076,92,0.084,204
0.087,21,0.079,96,0.08,193
0.054,13,0.078,95,0.078,190
0.087,21,0.089,108,0.089,215
0.066,16,0.083,100,0.083,201
0.095,23,0.083,100,0.078,190
0.083,20,0.083,101,0.088,213
0.066,16,0.084,102,0.088,212
0.079,19,0.085,103,0.083,201
0.091,22,0.082,99,0.079,192
0.091,22,0.078,95,0.076,185
0.099,24,0.09,109,0.086,209
0.128,31,0.086,104,0.089,215
0.066,16,0.081,98,0.078,189
0.083,20,0.083,100,0.078,190
0.087,21,0.077,93,0.086,209
0.074,18,0.088,107,0.085,207
0.079,19,0.092,112,0.088,213
0.116,28,0.093,113,0.088,213
0.112,27,0.1,121,0.092,222
0.087,21,0.087,105,0.088,212
0.079,19,0.091,110,0.083,202
0.087,21,0.086,104,0.086,209
0.087,21,0.076,92,0.086,208
0.062,15,0.083,100,0.087,210
0.07,17,0.08,97,0.079,192
0.099,24,0.092,111,0.088,214
0.091,22,0.088,107,0.09,217
0.079,19,0.077,93,0.088,212
0.079,19,0.078,95,0.082,198
0.116,28,0.087,105,0.083,200
0.074,18,0.07,85,0.071,172
0.062,15,0.096,116,0.09,217
0.099,24,0.093,113,0.09,217
0.07,17,0.067,81,0.072,175
0.099,24,0.088,106,0.089,215
0.066,16,0.075,91,0.081,195
0.083,20,0.08,97,0.084,203
0.087,21,0.088,107,0.09,217
0.074,18,0.092,112,0.091,221
0.079,19,0.088,106,0.082,199
0.087,21,0.073,89,0.083,202
0.099,24,0.084,102,0.081,196
0.087,21,0.1,121,0.092,223
0.07,17,0.081,98,0.081,196
0.074,18,0.1,121,0.091,220
0.041,10,0.077,93,0.081,196
0.087,21,0.082,99,0.085,207
0.091,22,0.083,101,0.084,203
0.091,22,0.084,102,0.085,207
0.087,21,0.084,102,0.088,214
0.079,19,0.087,105,0.087,211
0.087,21,0.08,97,0.081,197
0.087,21,0.091,110,0.084,204
0.074,18,0.073,89,0.079,192
0.112,27,0.088,106,0.089,216
0.066,16,0.078,94,0.081,196
0.103,25,0.084,102,0.091,221
0.062,15,0.077,93,0.082,199
0.091,22,0.087,105,0.082,199
0.074,18,0.088,107,0.089,216
0.079,19,0.088,106,0.089,216
0.112,27,0.083,101,0.087,211
