p_01,a_01,p_05,a_05,p_10,a_10
0.092,23,0.097,122,0.101,253
0.096,24,0.096,120,0.091,229
0.1,25,0.098,123,0.092,231
0.14,35,0.094,118,0.096,241
0.088,22,0.113,141,0.101,253
0.1,25,0.106,133,0.106,265
0.064,16,0.073,91,0.081,202
0.096,24,0.097,121,0.093,232
0.092,23,0.091,114,0.097,243
0.112,28,0.09,113,0.087,217
0.064,16,0.086,108,0.091,228
0.116,29,0.106,133,0.109,273
0.148,37,0.11,138,0.105,262
0.092,23,0.097,122,0.1,251
0.072,18,0.098,123,0.097,244
0.108,27,0.094,118,0.095,239
0.076,19,0.095,119,0.099,247
0.1,25,0.101,127,0.1,251
0.088,22,0.097,122,0.098,246
0.088,22,0.096,120,0.094,235
0.092,23,0.094,118,0.099,247
0.084,21,0.085,107,0.097,243
0.1,25,0.097,122,0.1,251
0.088,22,0.096,120,0.095,239
0.1,25,0.111,139,0.105,262
0.08,20,0.095,119,0.095,238
0.1,25,0.105,131,0.106,265
0.088,22,0.092,115,0.092,231
0.112,28,0.11,138,0.1,250
0.108,27,0.103,129,0.107,268
0.112,28,0.1,125,0.103,258
0.092,23,0.105,131,0.106,266
0.096,24,0.101,127,0.1,250
0.108,27,0.1,125,0.094,236
0.088,22,0.109,137,0.105,262
0.072,18,0.109,137,0.103,258
0.116,29,0.097,122,0.1,250
0.076,19,0.093,117,0.096,240
0.06,15,0.09,113,0.09,225
0.1,25,0.105,131,0.105,264
0.116,29,0.104,130,0.099,248
0.084,21,0.089,112,0.094,236
0.104,26,0.114,143,0.109,273
0.104,26,0.112,140,0.1,250
0.124,31,0.099,124,0.097,242
0.096,24,0.1,125,0.101,252
0.124,31,0.111,139,0.105,262
0.144,36,0.105,131,0.1,251
0.1,25,0.096,120,0.088,221
0.072,18,0.102,128,0.105,262
0.1,25,0.095,119,0.093,234
0.1,25,0.089,111,0.093,233
0.1,25,0.089,112,0.095,239
0.112,28,0.111,139,0.11,276
0.084,21,0.096,120,0.089,224
0.108,27,0.097,121,0.098,245
0.112,28,0.09,113,0.095,237
0.096,24,0.097,121,0.092,230
0.116,29,0.109,137,0.107,269
0.084,21,0.109,136,0.098,245
0.072,18,0.089,111,0.097,242
0.092,23,0.108,135,0.102,256
0.12,30,0.1,125,0.101,254
0.084,21,0.097,121,0.101,252
0.092,23,0.088,110,0.097,242
0.08,20,0.083,104,0.087,218
0.1,25,0.095,119,0.093,234
0.132,33,0.101,127,0.099,247
0.124,31,0.096,120,0.096,241
0.1,25,0.104,130,0.094,236
0.1,25,0.101,127,0.101,252
0.092,23,0.102,128,0.109,273
0.084,21,0.1,125,0.103,258
0.12,30,0.105,132,0.105,263
