p_01,a_01,p_05,a_05,p_10,a_10
0.388,38,0.305,150,0.309,304
0.286,28,0.446,219,0.454,446
0.224,22,0.283,139,0.306,301
0.357,35,0.34,167,0.346,340
0.327,32,0.314,154,0.309,304
0.337,33,0.328,161,0.32,315
0.388,38,0.334,164,0.326,320
0.235,23,0.299,147,0.328,322
0.245,24,0.316,155,0.314,309
0.347,34,0.293,144,0.304,299
0.316,31,0.316,155,0.329,323
0.316,31,0.318,156,0.328,322
0.408,40,0.334,164,0.326,320
0.347,34,0.295,145,0.313,308
0.224,22,0.33,162,0.343,337
0.337,33,0.356,175,0.343,337
0.357,35,0.34,167,0.334,328
0.337,33,0.342,168,0.332,326
0.337,33,0.348,171,0.344,338
0.286,28,0.352,173,0.319,314
0.245,24,0.328,161,0.314,309
0.337,33,0.36,177,0.347,341
0.286,28,0.316,155,0.321,316
0.306,30,0.312,153,0.304,299
0.327,32,0.32,157,0.322,317
0.327,32,0.316,155,0.32,315
0.235,23,0.291,143,0.306,301
0.286,28,0.342,168,0.342,336
0.286,28,0.283,139,0.299,294
0.286,28,0.318,156,0.318,313
0.367,36,0.332,163,0.339,333
0.316,31,0.299,147,0.315,310
0.214,21,0.314,154,0.327,321
0.673,66,0.66,324,0.577,567
0.255,25,0.346,170,0.331,325
0.357,35,0.312,153,0.308,303
0.398,39,0.336,165,0.349,343
0.286,28,0.346,170,0.363,357
0.306,30,0.316,155,0.32,315
0.388,38,0.324,159,0.348,342
0.286,28,0.318,156,0.36,354
0.316,31,0.334,164,0.333,327
0.367,36,0.34,167,0.325,319
0.296,29,0.314,154,0.322,317
0.316,31,0.344,169,0.312,307
0.357,35,0.348,171,0.348,342
0.286,28,0.352,173,0.331,325
0.276,27,0.32,157,0.345,339
0.286,28,0.301,148,0.316,311
0.337,33,0.36,177,0.355,349
0.255,25,0.35,172,0.33,324
0.296,29,0.303,149,0.316,311
0.265,26,0.308,151,0.311,306
0.337,33,0.342,168,0.336,330
0.194,19,0.291,143,0.315,310
0.265,26,0.299,147,0.335,329
0.276,27,0.291,143,0.306,301
0.286,28,0.34,167,0.334,328
0.286,28,0.289,142,0.311,306
0.327,32,0.324,159,0.341,335
0.316,31,0.452,222,0.483,475
0.357,35,0.36,177,0.339,333
0.316,31,0.32,157,0.325,319
0.235,23,0.293,144,0.311,306
0.296,29,0.348,171,0.336,330
0.276,27,0.301,148,0.311,306
0.296,29,0.34,167,0.348,342
0.398,39,0.338,166,0.325,319
0.286,28,0.332,163,0.322,317
0.337,33,0.346,170,0.338,332
0.265,26,0.32,157,0.327,321
0.347,34,0.322,158,0.306,301
0.337,33,0.322,158,0.325,319
0.337,33,0.312,153,0.296,291
